timestep_4,region_4,technology_3,parameter,value
hh0023,81NO,heatpumpAirSpace,effConv,2.45
hh0024,81NO,heatpumpAirSpace,effConv,3.164584323
hh0001,82NO,heatpumpAirSpace,effConv,2.854470115
hh0002,82NO,heatpumpAirSpace,effConv,3.534841849
hh0003,82NO,heatpumpAirSpace,effConv,3.451613652
hh0004,82NO,heatpumpAirSpace,effConv,3.649714008
hh0005,82NO,heatpumpAirSpace,effConv,3.738438379
hh0006,82NO,heatpumpAirSpace,effConv,3.498938616
hh0007,82NO,heatpumpAirSpace,effConv,3.658100518
hh0008,82NO,heatpumpAirSpace,effConv,3.874220385
hh0009,82NO,heatpumpAirSpace,effConv,4.046387673
hh0010,82NO,heatpumpAirSpace,effConv,4.06
hh0011,82NO,heatpumpAirSpace,effConv,4.06
hh0012,82NO,heatpumpAirSpace,effConv,4.06
hh0013,82NO,heatpumpAirSpace,effConv,4.06
hh0014,82NO,heatpumpAirSpace,effConv,4.06
hh0015,82NO,heatpumpAirSpace,effConv,4.06
hh0016,82NO,heatpumpAirSpace,effConv,4.06
hh0017,82NO,heatpumpAirSpace,effConv,4.029406867
hh0018,82NO,heatpumpAirSpace,effConv,4.008256869
hh0019,82NO,heatpumpAirSpace,effConv,3.835534634
hh0020,82NO,heatpumpAirSpace,effConv,3.743762371
hh0021,82NO,heatpumpAirSpace,effConv,3.453525056
hh0022,82NO,heatpumpAirSpace,effConv,3.557619678
hh0023,82NO,heatpumpAirSpace,effConv,2.45
hh0024,82NO,heatpumpAirSpace,effConv,3.164584323
hh0001,83NO,heatpumpAirSpace,effConv,2.854470115
hh0002,83NO,heatpumpAirSpace,effConv,3.534841849
hh0003,83NO,heatpumpAirSpace,effConv,3.451613652
hh0004,83NO,heatpumpAirSpace,effConv,3.649714008
hh0005,83NO,heatpumpAirSpace,effConv,3.738438379
hh0006,83NO,heatpumpAirSpace,effConv,3.498938616
hh0007,83NO,heatpumpAirSpace,effConv,3.658100518
hh0008,83NO,heatpumpAirSpace,effConv,3.874220385
hh0009,83NO,heatpumpAirSpace,effConv,4.046387673
hh0010,83NO,heatpumpAirSpace,effConv,4.06
hh0011,83NO,heatpumpAirSpace,effConv,4.06
hh0012,83NO,heatpumpAirSpace,effConv,4.06
hh0013,83NO,heatpumpAirSpace,effConv,4.06
