iteration,crudeOil,HVC,CHP,LTH,MTH,HTH,DH,SpaceHeating,rawBiogas,syngas,coal
1,-414.4999807307241,-0.7784442809093828,-5.07805883186589e-05,-0.0001851034242798,-2.244412798911859e-05,-0.0003094439819889,0.0,0.0,-0.000865431447575,0.0,-0.0001367312320497
2,-414.4999498659352,-237.99998216399044,-1.2432564428692812e-05,-0.0007644552178745,0.0,-136.74574539770015,0.0,0.0,-0.0001594302723165,0.0,-0.0001147940911638
5,-414.4999775372799,-237.9999610161637,-0.0002492045920475,-0.000290935063866,0.0,-159.5458521770062,0.0,-5.594230925345951,-0.0006382425537359,0.0,-0.0003353498622766
6,-401.2579365582875,-237.99999738622867,-0.0001891696210584,-0.0001554033185339,0.0,-19.958165911256994,0.0,-77.43231558446271,-0.000352847483593,0.0,-0.0002567029850006
8,-414.4999747346485,-237.9999670097405,-9.053775483320064e-05,-0.0624486423992702,-6.037189093246648e-05,-135.78877288111477,0.0,-118.37150964917524,-1.6925808743457122,0.0,-0.0002618342975371
9,-263.1670226801634,-237.9999181690401,-0.0003307249489229,-0.0620162601598403,-2.2832994224551948e-05,-275.7440272502582,-4.640764183530264e-05,-41.57793391133652,-5.868596496992424,-0.0001098337066656,-0.0005990728494447
10,-394.8474286259209,-238.00000055740085,-2.2131763686673302e-05,-3.2397763482517965e-05,0.0,-3.116440771575923,0.0,0.0,-0.0001415942396696,0.0,0.0
11,-414.4999333242721,-238.0000032662926,-0.0003284328058283,-0.0003486374905178,-2.6226091413671293e-05,-198.6346805376018,-0.0001785561205987,-5.592817685880649,-0.0025568779505947,0.0,-0.0001747043600436
12,-414.499972386543,-238.00000115618693,0.0,0.0,0.0,-152.47813478739766,0.0,0.0,-0.000143849116278,0.0,-5.3472646913144966e-05
13,-414.4999603734184,-238.0000020552388,-1.0308856828475968e-05,-0.0175278304064655,0.0,-56.7494953816322,0.0,0.0,-7.908148112815997,0.0,-4.389375768214575e-05
14,-414.4999360263038,-238.0000019755796,-0.0002905705542166,-0.0005504980203829,0.0,-27.05950068919707,-3.068823212760859e-05,-67.3850341970196,-0.0017708044602974,0.0,-0.0004036260882777
15,-414.4999372673208,-238.00000202822565,-0.0001110678187478,-0.0001445099689147,0.0,-265.3800191670513,0.0,-1.0650491463143132,-0.0008212720208023,0.0,-9.701416136897624e-05
16,-414.4999742269283,-237.99997179631487,-0.0001896951990779,-0.0328883264714671,-1.0452523546321326e-05,-293.0370697336977,0.0,-11.199662864503162,-5.987904187628356,0.0,-11.414396419374594
17,-240.22688597734103,-237.99997126449156,-0.0001315083038622,-0.0015108692380914,-2.435688999247514e-05,-454.0085744286308,-0.0001012245639819,-0.3926763775545825,-35.61088510586079,-1.2690902020219869e-05,-0.3866396223880313
18,-279.1220090481421,-237.9999819359469,-0.000409719855096,-0.045278073609091,-0.0001842917307021,-224.1190456833365,-0.0002008056365116,0.0,-16.667318528298253,0.0,-0.0006893305802267
19,-414.4999650092127,-237.9999989615532,-3.317960749531727e-05,-8.817708299174446e-05,0.0,-81.26501128866452,0.0,0.0,-0.0002842346300034,0.0,-0.0001494080815406
20,-414.4994958774551,-238.0000039112288,-0.0001413364308866,-0.026493162794722,0.0,-122.06391885097712,0.0,0.0,-0.0003682757544211,0.0,-0.0003680332803621
21,-392.3568921533562,-237.99999533990143,-3.907730609715119e-05,-0.0001368229580976,0.0,-131.06076453847666,-2.474072412069904e-05,0.0,-0.0005799862062131,0.0,-0.0003085352626453
22,-291.7821385668079,-237.99998964724625,-7.456967670116373e-05,-0.0001440955245428,0.0,-60.44260041117729,0.0,0.0,-0.000869867602787,-1.069603015493343e-05,-0.0002632966489482
23,-389.774067112076,-237.99997252075812,-5.479167357002416e-05,-0.0001334196910749,0.0,-251.4237146678955,-4.208948273818534e-05,0.0,-0.003814091932285,0.0,-0.000122470431465
25,-414.49986440515227,-238.0000036456026,-0.0002851964653532,-0.0827317196762328,-0.0001167875956957,-211.29646697926492,-4.7427023306982e-05,0.0,-45.41138312489719,0.0,-0.0003878931487235
26,-230.60108741550616,-237.99994878252767,-0.0002409518253833,-0.0896619456471467,-0.0001680662301141,-387.87742754607234,-1.8102563444564628,-21.639445995152183,-49.42633346534432,0.0,-0.0006315869953668
