iteration,objectiveValue
1,1162132.1185567828
2,1303446.703308363
5,1171677.582404854
6,1121515.4585750457
8,1257981.8507006676
9,1149646.6143322613
10,1428133.133986259
11,1449886.619909795
12,1381935.297464882
13,1116492.510911683
14,1431908.034244091
15,954518.0558124722
16,1165802.428461942
17,1195231.3890134206
18,1306704.3360760848
19,1230660.3631219398
20,1354484.8589331468
21,1262214.7618438683
22,1207365.4224062054
23,938260.7354497164
25,1529050.4487755382
26,1338640.2358418682
28,1486187.1802061386
29,1081180.9403878755
30,1065625.7880884795
31,1083637.266994233
32,1169857.7799114033
34,1064601.702804572
35,1129603.8481109098
36,1282712.588534304
37,1247118.7972572427
39,1130352.3169192793
40,1040057.5529157736
41,1219871.396179251
42,1170264.850039646
44,1035342.0955474708
45,1115841.0720806292
46,1035772.40422303
47,1154206.3823135286
48,1230418.7776284018
49,1098746.4119872374
50,1070014.928814115
51,1065325.7517265314
52,1223709.7848426197
53,1373711.1694723594
54,1280595.065629976
55,1177134.8229001595
56,979129.1566703868
57,1126348.786511336
58,1464347.5889852722
59,1264233.8309748184
60,1505154.2477648074
61,1269608.4140280758
62,1105616.455431016
63,1034062.4526253738
65,1146467.4208204148
66,1062601.645309057
67,1394999.5867980155
68,1164841.7545270715
69,1333664.297754858
70,1096496.1451797253
71,1299312.708074748
72,1259991.2320400146
73,1388238.2610497037
74,1210633.4409519592
75,1106009.230429476
76,1084351.2145671642
78,1408060.0056847348
79,1338039.7825294074
80,1050218.594549946
81,1139401.0855788596
82,1183926.2288618856
83,1271196.491980045
84,992265.4651809738
85,1117795.0731392645
87,1285766.1907470883
88,1430965.4980035443
89,1393462.560345404
90,1085178.7172923365
91,1259293.865347692
92,1389799.710311993
93,1519432.05070746
94,1239235.168383176
95,1326568.97103852
96,1197030.248167261
97,1522609.0939283073
98,925194.514251064
99,1126088.600198183
100,1170252.6218755625
101,1475694.7770684178
102,1275184.2772265445
103,1256010.6571112226
104,1217733.801676414
105,1273475.0021855845
106,1201018.4926929711
107,1290498.0108672965
108,1244847.1630551915
109,1136905.945429164
110,1164616.2826346208
111,1235900.0084553792
112,1055628.116218597
115,1265606.140265267
116,1250587.4056540446
118,966709.8192875808
119,1411436.8383141076
120,1283577.1297073315
121,1104302.213268201
122,1162492.322287118
125,1365894.2888491028
126,1103780.33194433
129,917566.879776866
130,1229608.1979845176
131,1289979.8713485906
132,1119165.6177884843
133,1404447.9108697895
134,1301100.671343397
135,1429743.4311410985
136,1308758.47873919
138,1284584.501056119
139,1397888.467003545
140,1210394.623555045
141,1370725.8937003915
142,1179656.8530541076
143,1493951.8069542928
144,1134254.092176121
145,1161487.2384990817
146,1100944.6262492142
147,1270581.31604026
148,1284724.7382962136
149,1186322.842368649
151,1115255.4550723303
152,1244319.7640986124
153,1039149.8450531866
154,1414990.6969603228
155,1204726.0074225175
157,1380342.5894696608
158,1120806.71518145
159,1259718.281377635
160,1310913.2179920827
161,1199653.3678103923
162,1216025.866623142
165,1281465.5797440154
166,1042427.8600253956
167,1370027.248807176
168,1331181.8970629084
169,934638.3180586935
170,1039715.525612305
171,1163588.8588294513
172,1222172.2885187503
173,1501942.1960311893
174,1327972.4780526932
176,1248566.2422760772
177,1343917.8952568704
178,1189707.1687168777
179,1256531.1780032846
180,1077503.5546445306
183,986505.454761509
184,1243198.51894182
185,1161461.906844461
186,1240307.2371611963
187,1171858.570656117
188,1474600.6915364326
189,1259619.2331589968
190,1118598.834106197
191,1219217.3248231742
192,1358332.2751554695
193,1454298.8790585329
194,1042482.845450138
195,1451785.0113010963
196,1207034.9590313323
198,1358253.982598898
199,1232426.199889164
200,1089963.2806578274
201,1249535.9305510258
202,1201415.9861297028
203,1362579.4516134528
204,1201315.532787101
205,1338754.1685618209
206,1268546.6590456965
207,1519829.516459399
208,1163694.5525580065
209,1208866.5169528949
211,1147056.8847495068
212,1359571.869043914
213,1215375.7762577222
215,1179098.455682185
216,1048739.1182120978
217,1229089.8385072656
218,1478486.4121729406
219,1202293.156055458
220,1163505.785426915
222,1003900.7737761636
223,1213766.9819704269
224,1389782.9925418266
225,1041381.2031314492
227,1106462.8375335524
228,1256335.0989374751
230,1019246.6294365388
231,1287007.98210385
232,1175212.4655152718
233,969489.092299511
234,1145648.083271485
236,1113391.7648514851
237,1135647.030816122
239,1157300.1230248564
240,1338764.6187830889
241,1374259.3081871984
242,1345788.176196027
243,1349111.4777508026
244,1207231.8960157663
245,1141624.7241930978
246,1258488.8393948204
247,1398621.2748028804
248,1430426.5535943343
249,1336031.573063319
250,1228711.3574629936
251,1078103.1005442208
252,1344786.7088717856
256,1358428.248762054
257,939921.9774608784
258,1106143.3019995226
259,1198589.851925762
261,1380080.680510041
262,1513030.5053534503
263,1287665.1836371208
264,1488043.4840392163
265,1329555.8154864386
266,1279250.433570583
267,1254823.4192247875
268,1249803.2756034436
269,1037732.3951478652
270,1517171.9829700526
272,1084570.221738489
273,1235960.2272724437
274,1244065.2832006149
275,1164063.4434951418
276,1103993.4744004991
278,1238486.730399014
279,1091678.7289479584
280,1083102.40497184
281,1131443.801123205
282,1122997.102548462
284,1126754.4867658685
285,1060459.80707259
286,1343601.003379093
287,1213766.6339650603
288,1112042.3824966748
289,1367286.7249961817
291,1070707.5715015505
292,1295622.917302038
293,1088014.773255946
294,1090795.8467412912
295,1400536.932539749
296,1083179.0632403751
297,1001465.5589286884
298,1271567.2193830465
299,1141756.023423438
300,979216.1617081772
301,1284185.5158593196
302,1138666.0751148013
303,1148834.0188564442
304,1200412.746216435
305,1136008.367265297
307,1037022.6765266896
308,1192129.552085613
309,1174357.6877407276
311,1162612.537855718
312,1188225.9481551088
313,1183637.618985178
315,1357199.7232133646
316,982576.6533019204
317,1260390.2842405688
318,1224398.6212961692
321,980136.2653292303
322,1369498.889564504
323,1318738.9715651777
324,1466641.1744355666
327,1370287.0842647676
328,1327830.3596712884
330,1330690.8248839434
331,1223033.5971643676
332,1388880.6278437455
333,1455247.2577789645
334,1247508.3749535645
336,1289706.414621251
337,1270647.173823621
338,1306655.5702180092
339,1471475.3922606132
340,1077603.8296746125
341,1393661.0694735926
342,1228516.036239395
343,1321872.5878428726
347,1172667.5552063202
348,1342762.8172344444
349,1359001.162455741
350,1380139.953468297
351,1405014.2554156275
352,1185318.937858484
354,1139149.1064537547
355,1238059.751027597
356,1198815.2595794995
357,1250518.3232973614
358,1207178.3615784575
359,1225096.4775435652
360,1120302.4469306993
362,1371587.4610006325
363,1139140.3517628338
364,1010226.6907643386
367,1246968.293625253
368,1249728.6062700415
369,1481062.2807331437
370,1206263.1491137643
374,1251262.340732865
375,1046541.7971020072
376,1303109.2324795532
377,1136306.0363407636
378,1225068.8195939143
379,1330877.8873158726
381,1024024.2921337044
382,1242307.4498117226
383,1400744.9149131372
384,1175931.6287289262
385,1058338.8157460133
386,1255336.8005592765
387,1283854.6996825093
388,1479472.9401006529
390,1195839.4674937876
391,1097843.0880535657
392,1294046.837775327
393,1341754.136255887
394,1173082.3090621922
395,1109516.511913784
396,1487463.7254721357
397,1036089.6022682578
398,1130447.3582100698
399,1303706.153544905
400,1249810.4986095354
401,954700.2938912514
403,1160909.6394916167
404,1100753.8754590813
405,1095797.6839952448
407,1225032.2777539378
408,1373320.6523415016
409,1070372.9338846982
410,1246493.17523712
411,1151226.3502470774
413,1429933.8021810737
414,1456966.779958099
415,1152688.943355251
416,1144318.5266800714
417,1218173.5568476615
420,1236304.1990999137
421,1153962.5200495357
422,1038349.7261740192
423,1078460.314845862
424,1251450.392361695
425,1226091.8035548166
427,1073362.9450589283
429,1117213.4074989487
430,1081379.916278231
431,1318121.3950949253
432,1185491.1575999316
433,1282330.281570434
434,1083595.7217546604
435,1024613.3812262584
436,1372635.389302764
437,1118892.6154426031
438,1034917.3688336294
440,1177670.682197193
441,1162442.2500340797
443,1126564.2954001531
444,971507.6097308116
445,1076736.532886147
446,1056913.003705128
447,1281651.3825115254
449,1055171.0602435658
450,1326983.9606533651
451,1273294.4763864982
452,1067921.8393688449
453,1173602.775034079
457,1290393.1724410828
458,1214319.2242483927
459,1453305.4791705245
460,1057330.6396424137
461,1045647.5665338616
462,1453212.2025495206
463,1133339.5512832631
464,1230341.274763251
466,1396565.1054782683
467,1479304.6008955382
469,1238192.5836817762
471,1047554.5671481468
472,1032778.1474183272
473,1246638.7386952734
474,1145207.9463826625
475,1214624.2999447463
476,1096869.0427398342
477,1372984.5185854093
478,1271200.214315555
479,1042788.9510612582
480,1088349.5855708208
481,1309196.45040705
482,1410401.142737334
483,1086372.1569345328
484,1277076.03369266
485,1251762.5631144634
487,1372462.1334443202
488,1382988.2044353976
489,1379274.4321954977
490,1189697.8058178136
491,1205699.341284298
493,1291974.8083849126
495,1134574.6021084974
496,1028363.6675183608
497,1571278.9447149788
498,1252766.6976122807
499,1297068.2172702916
501,1406475.170959584
502,1224137.7256888484
504,1159269.809494937
505,1098576.428699555
506,1236515.4109636592
508,1297021.6746141822
509,1330231.1117119442
510,1359357.988133227
512,1185276.0392500646
513,1320762.748269769
514,1055074.419447241
515,1399737.7582208237
516,1080578.9142472076
517,1500438.8536745682
518,1472270.8077117775
519,1213515.084396725
520,1206508.1863202443
521,1271106.5207495105
522,972223.3099907244
523,1504675.4426743884
524,1011746.1694736
525,1264775.156370705
526,1457308.016609272
527,1078810.5973980394
528,1273683.0788080883
529,1165154.9032974278
530,1291908.713641962
531,958048.341201
532,1280684.603362743
533,1369824.7201728106
534,1439213.3082917524
535,1023427.8075837347
537,1379606.9659738978
539,1214973.1090894782
540,1038230.5712384268
541,1172408.607093787
542,1183075.8067848843
543,1229295.9503248292
544,1002264.8822947365
545,944469.7357974892
546,1224469.7492146268
547,1302118.7279602997
548,1233631.0364023796
549,1190749.425281514
550,1272420.471805787
551,1449939.8769703924
552,1037730.8661822268
553,1113609.9251181744
554,1192991.0502929098
555,1313972.339245531
556,1266482.3656604164
557,1018225.0791856406
558,1323525.2259811342
559,1332411.5796700425
560,1097962.147025854
561,1414425.396539754
562,1318306.0713377076
563,1344033.7869787102
564,1160333.7882983058
566,1379643.7969245878
567,1135375.9534133489
568,1141024.511855571
570,1188834.6379417677
573,1074991.155425548
574,1160673.687004262
577,1465845.6672643342
578,975074.3062899412
579,1188606.65850259
580,1179365.258981037
582,1314713.3277796078
583,1355585.4275200155
585,1241449.7719754982
586,1277626.5474108504
587,1135633.953813857
588,1099169.2628695592
589,1146255.8009338044
591,1197514.7063282952
592,1033489.4801751304
593,1143767.4918324433
594,1121055.1253967085
595,1105440.5769396997
596,1112002.8976584268
597,1432171.4898932998
598,1178891.9513304092
599,1017437.1380733602
