iteration,crudeOil,HVC,CHP,LTH,MTH,HTH,DH,SpaceHeating,rawBiogas,syngas,coal
56,-343.0030832,-336.905643,-0.000201983,-0.082699471,-0.000296956,-206.3585675,-2.57E-05,-0.592833877,-0.748787849,-0.000154646,-0.000399047
57,-240.162767,-305.5466935,-0.000108854,-0.042064462,-12.40781209,-120.9860514,-6.90E-05,0,-19.38973348,-0.000103998,-0.000359447
58,-353.4938168,-360.3504826,0,0,0,0,0,0,-1.46E-05,0,0
59,-372.4595152,-410.1142297,0,0,0,0,0,0,-5.31E-05,0,0
60,-395.1658015,-515.8863356,0,0,0,0,0,0,-0.000146889,0,0
61,-420.6854725,-448.7439967,-2.24E-05,-8.53E-05,0,-3.128086703,0,0,-0.000351439,0,-1.05E-05
62,-333.4566705,-245.021167,-0.000106845,-0.000225744,0,-78.83776863,0,0,-0.000705733,0,-0.000118128
63,-346.2523283,-497.9257615,-1.03E-05,-2.40E-05,0,0,0,0,-0.000525185,0,0
64,-257.9049243,-223.8247964,-2.49E-05,-0.070493275,0,-162.3045612,-2.24E-05,0,-30.30937788,0,-0.000103331
65,-241.8723833,-282.6008165,-0.000145039,-0.031929328,-3.58E-05,-104.4997126,-2.46E-05,-24.02728388,-15.13414435,0,-0.000172766
66,-282.8099524,-253.5231962,-0.000163286,-0.000265009,-2.43E-05,-246.7191509,-0.000120406,-9.747191511,-0.001023088,-1.45E-05,-0.000339433
67,-309.5421939,-442.2088175,0,0,0,0,0,0,-0.000129706,0,0
68,-340.4190307,-536.7374119,0,0,0,0,0,0,-5.26E-05,0,0
69,-332.6352174,-415.3603434,-1.11E-05,-2.58E-05,0,0,0,0,-0.000420367,0,0
70,-339.2438614,-586.8542925,0,0,0,0,0,0,-0.000296015,0,0
71,-362.6887218,-414.1797185,-1.03E-05,-0.000397523,-1.15E-05,-14.67054195,-6.55E-05,-85.12014989,-0.001830143,0,-0.00013778
72,-297.7249957,-411.9326168,0,0,0,0,0,0,-0.000288301,0,0
73,-333.2810509,-414.1359229,0,0,0,0,0,0,0,0,0
74,-357.3564282,-444.706175,0,-5.20E-05,0,-0.000173336,0,0,-0.000455479,0,-1.00E-05
75,-342.3423378,-367.7906912,0,-3.24E-05,0,-5.95E-05,0,0,-0.000476155,0,0
76,-301.3450296,-456.5398297,-0.000125769,-0.011123577,-2.62E-05,-71.91848814,0,-0.31697604,-30.681065,-8.67E-05,-9.95E-05
