region_4,region_4,exchange,timestep_2,distance,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,source
20FR,24FR,methaneGrid,2040,227.7869615,capaExcResi,0,costExpExc,159.4508731,costOprExc,34.87987848,All same as h2Grid
20FR,25FR,methaneGrid,2040,289.2192799,capaExcResi,0,costExpExc,202.4534959,costOprExc,44.28670223,All same as h2Grid
20FR,47CH,methaneGrid,2040,235.1547296,capaExcResi,0,costExpExc,164.6083107,costOprExc,36.00806797,All same as h2Grid
20FR,48CH,methaneGrid,2040,225.2370458,capaExcResi,0,costExpExc,157.6659321,costOprExc,34.48942264,All same as h2Grid
20FR,52IT,methaneGrid,2040,336.9067548,capaExcResi,0,costExpExc,235.8347284,costOprExc,51.58884683,All same as h2Grid
21FR,22FR,methaneGrid,2040,242.5869624,capaExcResi,0,costExpExc,169.8108737,costOprExc,37.14612862,All same as h2Grid
22FR,23FR,methaneGrid,2040,188.7170239,capaExcResi,0,costExpExc,132.1019167,costOprExc,28.89729428,All same as h2Grid
22FR,26FR,methaneGrid,2040,202.1663095,capaExcResi,0,costExpExc,141.5164167,costOprExc,30.95671614,All same as h2Grid
23FR,24FR,methaneGrid,2040,199.0479478,capaExcResi,0,costExpExc,139.3335635,costOprExc,30.47921701,All same as h2Grid
23FR,26FR,methaneGrid,2040,120.6619931,capaExcResi,0,costExpExc,84.46339517,costOprExc,18.47636769,All same as h2Grid
23FR,27FR,methaneGrid,2040,153.4722025,capaExcResi,0,costExpExc,107.4305418,costOprExc,23.50043101,All same as h2Grid
24FR,25FR,methaneGrid,2040,161.283229,capaExcResi,0,costExpExc,112.8982603,costOprExc,24.69649444,All same as h2Grid
24FR,27FR,methaneGrid,2040,195.2661639,capaExcResi,0,costExpExc,136.6863147,costOprExc,29.90013135,All same as h2Grid
25FR,27FR,methaneGrid,2040,167.270989,capaExcResi,0,costExpExc,117.0896923,costOprExc,25.61337019,All same as h2Grid
25FR,28BE,methaneGrid,2040,264.1398562,capaExcResi,0,costExpExc,184.8978993,costOprExc,40.44641548,All same as h2Grid
25FR,29LU,methaneGrid,2040,165.1477098,capaExcResi,0,costExpExc,115.6033969,costOprExc,25.28824306,All same as h2Grid
25FR,35DE,methaneGrid,2040,277.5602625,capaExcResi,0,costExpExc,194.2921838,costOprExc,42.5014152,All same as h2Grid
25FR,36DE,methaneGrid,2040,232.3229713,capaExcResi,0,costExpExc,162.6260799,costOprExc,35.57445498,All same as h2Grid
25FR,47CH,methaneGrid,2040,198.9643584,capaExcResi,0,costExpExc,139.2750509,costOprExc,30.46641738,All same as h2Grid
26FR,27FR,methaneGrid,2040,156.9966867,capaExcResi,0,costExpExc,109.8976807,costOprExc,24.04011765,All same as h2Grid
26FR,28BE,methaneGrid,2040,200.3490202,capaExcResi,0,costExpExc,140.2443141,costOprExc,30.67844372,All same as h2Grid
26FR,90UK,methaneGrid,2040,263.8339001,capaExcResi,0,costExpExc,184.6837301,costOprExc,40.39956595,All same as h2Grid
27FR,28BE,methaneGrid,2040,150.4013144,capaExcResi,0,costExpExc,105.2809201,costOprExc,23.03020127,All same as h2Grid
28BE,29LU,methaneGrid,2040,114.7981484,capaExcResi,0,costExpExc,80.35870388,costOprExc,17.57846647,All same as h2Grid
28BE,30NL,methaneGrid,2040,165.3403034,capaExcResi,0,costExpExc,115.7382124,costOprExc,25.31773396,All same as h2Grid
28BE,33DE,methaneGrid,2040,199.5774984,capaExcResi,0,costExpExc,139.7042489,costOprExc,30.56030444,All same as h2Grid
29LU,35DE,methaneGrid,2040,175.3953939,capaExcResi,0,costExpExc,122.7767757,costOprExc,26.85741969,All same as h2Grid
30NL,31DE,methaneGrid,2040,312.4217743,capaExcResi,0,costExpExc,218.695242,costOprExc,47.83958419,All same as h2Grid
30NL,33DE,methaneGrid,2040,174.5465975,capaExcResi,0,costExpExc,122.1826183,costOprExc,26.72744774,All same as h2Grid
31DE,32DE,methaneGrid,2040,231.9447013,capaExcResi,0,costExpExc,162.3612909,costOprExc,35.51653239,All same as h2Grid
31DE,33DE,methaneGrid,2040,250.0484459,capaExcResi,0,costExpExc,175.0339121,costOprExc,38.28866828,All same as h2Grid
31DE,34DE,methaneGrid,2040,315.1667435,capaExcResi,0,costExpExc,220.6167205,costOprExc,48.2599076,All same as h2Grid
31DE,35DE,methaneGrid,2040,337.3330513,capaExcResi,0,costExpExc,236.1331359,costOprExc,51.65412348,All same as h2Grid
31DE,38DK,methaneGrid,2040,297.178229,capaExcResi,0,costExpExc,208.0247603,costOprExc,45.50541632,All same as h2Grid
32DE,34DE,methaneGrid,2040,267.703044,capaExcResi,0,costExpExc,187.3921308,costOprExc,40.99202861,All same as h2Grid
32DE,44PL,methaneGrid,2040,274.1442939,capaExcResi,0,costExpExc,191.9010057,costOprExc,41.978345,All same as h2Grid
33DE,35DE,methaneGrid,2040,127.8183741,capaExcResi,0,costExpExc,89.47286187,costOprExc,19.57218853,All same as h2Grid
34DE,35DE,methaneGrid,2040,281.8972247,capaExcResi,0,costExpExc,197.3280573,costOprExc,43.16551253,All same as h2Grid
34DE,37DE,methaneGrid,2040,247.963176,capaExcResi,0,costExpExc,173.5742232,costOprExc,37.96936133,All same as h2Grid
34DE,39CZ,methaneGrid,2040,213.1205044,capaExcResi,0,costExpExc,149.1843531,costOprExc,32.63407724,All same as h2Grid
34DE,44PL,methaneGrid,2040,320.0532054,capaExcResi,0,costExpExc,224.0372438,costOprExc,49.00814708,All same as h2Grid
35DE,36DE,methaneGrid,2040,205.7224337,capaExcResi,0,costExpExc,144.0057036,costOprExc,31.50124766,All same as h2Grid
35DE,37DE,methaneGrid,2040,239.1816951,capaExcResi,0,costExpExc,167.4271866,costOprExc,36.62469706,All same as h2Grid
36DE,37DE,methaneGrid,2040,130.8050302,capaExcResi,0,costExpExc,91.56352114,costOprExc,20.02952025,All same as h2Grid
36DE,47CH,methaneGrid,2040,186.4672776,capaExcResi,0,costExpExc,130.5270943,costOprExc,28.55280188,All same as h2Grid
37DE,39CZ,methaneGrid,2040,275.0259717,capaExcResi,0,costExpExc,192.5181802,costOprExc,42.11335192,All same as h2Grid
37DE,49AT,methaneGrid,2040,221.307682,capaExcResi,0,costExpExc,154.9153774,costOprExc,33.88773881,All same as h2Grid
37DE,50AT,methaneGrid,2040,313.9276745,capaExcResi,0,costExpExc,219.7493722,costOprExc,48.07017516,All same as h2Grid
38DK,72DK,methaneGrid,2040,167.5531634,capaExcResi,0,costExpExc,117.2872144,costOprExc,25.65657815,All same as h2Grid
38DK,79NO,methaneGrid,2040,355.3083325,capaExcResi,0,costExpExc,248.7158328,costOprExc,54.40658841,All same as h2Grid
