iteration,crudeOil,HVC,CHP,LTH,MTH,HTH,DH,SpaceHeating,rawBiogas,syngas,coal
1,-657.4408231031452,-238.0000030153857,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003210858169948,0.0,0.0
3,-45.07542296566755,-238.0000021208392,-0.0001274659439077,-0.0010067380510973,0.0,-62.20457988056423,-1.2254388182597398e-05,0.0,-22.50214961110637,-0.0001399388722479,-0.000338172846587
4,-128.1355314778059,-238.0000017681028,-1.28328543456123e-05,-0.000243950963812,0.0,-2.958247029063878,-0.0001495909687684,0.0,-1.0623370395125669,0.0,-0.0001107362560151
5,-579.6423454634496,-238.0000016777348,0.0,0.0,0.0,0.0,0.0,0.0,-2.139983280295607e-05,0.0,0.0
7,-93.66797496578842,-237.99999530676,-3.2833303449485844e-05,-0.020592149394857,0.0,-225.2718493930608,0.0,0.0,-13.041874046204647,-1.1752265024459628e-05,-0.000127340461247
24,-131.66987373844765,-237.9999938412708,-0.0001244336416074,-0.0602418151273789,0.0,-180.41968986028695,-2.43722587251247e-05,-28.30064105944608,-16.023820166906773,-0.0002612342003074,-0.0001964481691038
27,-173.91961792589365,-238.00000341021288,-0.0002660941043856,-0.0004371227986101,-6.363850535511851e-05,-139.64879411795698,-1.0740820862544232e-05,0.0,-0.0022292962270444,-9.042643512305378e-05,-0.0003521779796804
33,-179.95248065529736,-238.00000258059168,-0.0002867039696986,-0.0252165861246645,-0.0024708798844117,-273.9850491829376,-6.946203884490088e-05,0.0,-13.666773211542711,-0.000214093262393,-0.0004801619575178
38,-1.7730835078175842,-238.0000025613104,-0.0005724678204121,-0.0007741117797804,-8.132708122178992e-05,-19.157010518981267,-0.0001219988423916,0.0,-1.1258020093568917,-0.0004471676592514,-0.0006316782432774
43,-29.60363787082216,-238.00000234835477,-7.514027427608374e-05,-0.0007181109532936,-1.0185234869325926e-05,-70.98237540960216,-2.124964928044573e-05,0.0,-29.782951900772066,0.0,-0.0002671996972953
64,-257.9055269289328,-237.999994140019,0.0,-0.0704534443832967,0.0,-153.309175686887,0.0,0.0,-30.34141841436113,0.0,-4.327178450008629e-05
77,-179.15880796262454,-237.99998902802656,-0.0001508656816586,-0.007799883563414,-0.0005929948283936,-342.6765528476935,-1.0078610971852325e-05,-0.4314470742715886,-13.921654215517734,0.0,-0.0004734336912808
86,-248.0269036542946,-238.0000014929211,-3.633534946650021e-05,-0.0765773253722832,0.0,-175.18239219223884,0.0,0.0,-20.30092449891874,-3.412976419323376e-05,-0.0002801696678462
95,-631.3060471498892,-238.00000356751568,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001129498739375,0.0,0.0
101,-710.1625370002756,-237.99998017290855,0.0,0.0,0.0,0.0,0.0,0.0,-1.0766445889178183e-05,0.0,0.0
112,-619.4723766010806,-237.99998723505928,0.0,-1.0567455884650575e-05,0.0,0.0,0.0,0.0,-0.0001865852387762,0.0,0.0
113,-116.537241501899,-237.99999524702557,-0.0002511237329965,-0.0793509165233533,-0.000107551295437,-228.36027745984163,-1.0632199436739636e-05,-187.9041924440477,-60.63691148172797,-3.374083220746876e-05,-0.000433478773228
114,-146.37328566308105,-238.00000410308328,-0.0002173887858318,-0.0003613403190311,-7.177178118782505e-05,-0.4669150299655761,-6.075451474140036e-05,0.0,-0.0020255914074985,-7.745229649444823e-05,-0.0003919320392192
116,-685.3201147044406,-238.0000269262998,0.0,-1.0068776665157362e-05,0.0,0.0,0.0,0.0,-0.0001993715718313,0.0,0.0
117,-236.1135583420296,-237.99998797581867,-0.0001113259193002,-0.0653270428548422,-3.083493393305612e-05,-217.5324101114956,0.0,0.0,-14.602898031183985,0.0,-7.814449925497223
122,-496.03483620480034,-238.00000405365213,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001631093019349,0.0,0.0
123,-69.55277703261791,-238.0000030270194,-0.001051154607235,-0.0009527829705714,-9.46586019001218e-05,-85.92969803144149,-0.0001621151295381,0.0,-8.114013483023307,-0.000702452824043,-0.0006666670135328
124,-364.1055074697077,-238.00000395166435,-0.0001504174968827,-0.0004010230741208,-1.7086805009054227e-05,-152.45898376683198,-5.450963124585184e-05,0.0,-1.2031629644882256,0.0,-0.0005820811436352
127,-331.1405424805376,-238.0000034337307,-0.0001057556162041,-0.0885475173486242,-1.0185577069743836e-05,-179.7700258267373,-3.537845412394251e-05,-25.533824181723112,-13.760349306812252,0.0,-0.0003096197050299
128,-34.28362587144979,-237.9999934152772,-0.0001907806262072,-0.0011288988245376,0.0,-247.80234114033104,-3.074651429992779e-05,-71.7109353561242,-2.0327113557072494,0.0,-0.0006994557108442
132,-580.7636859886251,-237.99999657325696,0.0,0.0,0.0,0.0,0.0,0.0,-2.8504435698310963e-05,0.0,0.0
134,-757.4983263975046,-237.99996323892685,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002177683009895,0.0,-6.795091879240705e-05
137,-373.4903311031997,-237.9999934774554,-6.21521874408986e-05,-0.0002285846065066,0.0,-181.54602724414917,0.0,-0.0213816319299754,-0.0007518485713622,0.0,-0.0001566345787262
150,-149.9682164931,-237.9999940255541,-0.0003253481015544,-0.0525814490019678,-0.0005198958180125,-304.3782656607631,-2.49401532705586e-05,-6.744686635702318,-35.54074038966873,-7.53352705465098e-05,-0.0006251460571576
156,-200.04599732280377,-237.9999934858878,-0.0003254339551326,-0.0005453773215438,-5.4234643917991264e-05,-163.48055444853216,-2.186906627522301e-05,-77.63678241190662,-4.035921083076394,-0.0001138771677324,-0.0007274673483765
163,-144.8740234027683,-237.999986168988,-9.539959580765324e-05,-0.0433671096172963,0.0,-323.7341741540158,-1.0835198977019976e-05,-21.92427143637889,-33.163277149925804,-5.726528637770282e-05,-0.0005275248188035
164,-161.0518741366772,-237.9999936323182,-0.0001516385666831,-0.0542658400394285,-3.822682637926213e-05,-191.41367249439935,-0.0001035222532191,-40.47310955941302,-24.32884309121235,-7.434492551733136e-05,-0.0002256561175492
175,-280.9486202878955,-238.00000364941803,-0.0002781125370813,-0.0291853247169991,0.0,-182.02857747331265,-1.037388239317886e-05,0.0,-16.028496104100633,0.0,-0.0001106686040691
181,-124.75527582787988,-237.99999479409584,-0.0002558556227617,-0.0580673962223564,-5.895269856020842e-05,-324.0550590601116,-0.0001825337522019,-1.83462431432963,-28.06136410791917,-3.2134554647843226e-05,-0.0014894790395457
182,-187.9464109667179,-237.99997229283568,0.0,-0.0195395651461809,0.0,-175.2490521062568,0.0,-29.630370609516053,-23.311158243456283,-3.930452680509434e-05,-8.738583154772157e-05
183,-572.9525151999617,-237.99996817451196,0.0,0.0,0.0,0.0,0.0,0.0,-6.620972269607488e-05,0.0,0.0
187,-590.581460535923,-237.99999509742617,0.0,0.0,0.0,0.0,0.0,0.0,-2.217666481348268e-05,0.0,0.0
197,-228.02021586718817,-237.9999965951899,-0.0001502122475209,-0.0171657132632007,-5.461414294485123e-05,-250.77224244580964,-1.149979000269192e-05,-13.020581129118144,-35.420634547692245,0.0,-4.3694729592652046e-05
209,-542.9285189788731,-238.0000091150892,0.0,0.0,0.0,0.0,0.0,0.0,-9.928209419265544e-05,0.0,0.0
210,-107.16419313075136,-238.0000009810288,-0.0001281129051983,-0.0003982434961317,-2.771478444432439e-05,-0.0495642084781378,-1.1558405339883154e-05,0.0,-0.0219142370541611,-0.0002025835747391,-7.699649962514323e-05
214,-172.1597804015613,-237.99997650612332,0.0,-0.0746206845197094,0.0,-291.26557913415576,0.0,-89.90321811036245,-18.082043489692467,-1.030283164773304e-05,-6.74346011041823e-05
221,-123.90547643457371,-237.9999936091918,-2.3170825408476896e-05,-0.0068822132544832,-6.77942739357461e-05,-78.16452579801833,-0.0009115259205036,-1.1077711372481598e-05,-9.82428694382423,-2.5222418406718123e-05,-6.733701297629843e-05
223,-474.723645750126,-238.0000032634866,-6.585798081907588e-05,-0.0001185084293402,0.0,-0.0001113602224781,0.0,0.0,-0.0004947785134419,0.0,-0.0001963995132272
226,-82.64682441929207,-237.9999736524869,0.0,-0.0001137489264039,0.0,-164.75388351103186,0.0,-21.87792519079155,-1.9171928546650765,0.0,-4.37239715701413e-05
229,-132.19586210392035,-238.0000033049427,-3.585424928095139e-05,-0.0272808273646718,-4.7745435674271885e-05,-39.65480390532249,0.0,-3.0036861722376087,-14.679582695816856,-4.1185739301505234e-05,-2.32266926351323e-05
235,-125.7356860501102,-238.0000024576036,-7.309904169159725e-05,-0.008593290506436,-1.5391526748991134e-05,-114.69406882313552,-5.525453707553191e-05,0.0,7.998083714060627,-1.0757621313552318e-05,-0.0002756318767432
236,-557.1511192939706,-238.00000261449773,0.0,0.0,0.0,0.0,0.0,0.0,-4.134314078670367e-05,0.0,-1.054619892781633e-05
238,-89.88146013419627,-237.99999378425983,0.0,-0.0001555604283194,0.0,-58.78514072253492,0.0,0.0,-24.52299148343001,0.0,0.0
246,-619.6787517043654,-237.99998122654955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,-106.83607242736606,-238.0000029741384,-0.0001463326715768,-0.0005971846031873,0.0,-17.116543696451178,0.0,0.0,-1.5914198840932547,-0.0001598744581795,-0.0001007047862963
254,-275.0512462327823,-238.00000271411855,-0.0001499713014298,-0.0856276891886154,-3.562720884621367e-05,-162.40399670011635,0.0,-24.62515341985191,-24.188175015210533,-8.992199148413112e-05,-0.0002204867269304
255,-193.0946537220504,-237.9999840670894,0.0,-0.0111266595046308,0.0,-265.9711842405053,0.0,-128.60227599275095,-9.580987116317736,-1.2164104313486267e-05,-0.0004256418734661
260,-86.692543558489,-238.0000024716253,-6.052054468901573e-05,-1.2811888216576268,-0.0001717568512952,-82.51151620276595,-0.0001843264172438,0.0,-34.48073193472915,-2.1514687991169363e-05,-0.0002165487404023
261,-745.9738419761991,-238.00000249346112,-1.316301035998176e-05,-1.0074741029148874e-05,0.0,-4.291686470225362e-05,0.0,0.0,-0.0003294213005043,0.0,-4.404931633297585e-05
269,-401.99323823939767,-238.00000283979276,-4.622375046441551e-05,-0.0001273622758235,0.0,-0.0002971769522958,0.0,0.0,-0.0007467037605486,0.0,-7.524918342639534e-05
