iteration,objectiveValue
1,1161153.0364959498
3,1189658.14333583
4,1106777.2793536065
5,1166056.9504774369
7,1115799.9697180546
24,1125538.965406601
27,1207796.3009759346
33,1065167.4787833097
38,1080514.256732666
43,1045205.9379184596
64,1174683.297663889
77,1106032.5825310296
86,981392.944048814
95,1323483.0198817218
101,1463542.237761414
112,1050931.632375114
113,1156227.395318478
114,1243446.5425122064
116,1243370.959699786
117,1216232.4188713983
122,1159979.5645459548
123,951447.4190771424
124,1156625.24483785
127,1101983.2979601414
128,941502.554961374
132,1112510.3597336786
134,1294054.905339171
137,1074199.8630790275
150,1029758.4325317534
156,1039301.4685750148
163,1064578.5345744996
164,1146965.8655361957
175,1267676.4311622237
181,1218107.6269962464
182,1060409.9320081377
183,980801.2126241684
187,1166339.1014466316
197,1205941.723714673
209,1204206.7983980468
210,1179067.5121452513
214,1149112.1970288178
221,889186.375837712
223,1214417.5786325976
226,988152.9996924248
229,1199725.2699529498
235,928793.3965917384
236,1110968.018956127
238,1038928.6375076276
246,1252845.185998134
253,1178396.161166143
254,1182835.2778011484
255,889937.9531087249
260,1231367.001523008
261,1374293.876117526
269,1039728.0429738676
271,1104961.4309580256
277,946482.9700335842
283,1318549.345326305
284,1125276.0853079085
290,1184075.454189012
300,977041.5288927922
306,1057423.242064256
310,912582.6820979406
314,1309532.904159904
319,928391.108095152
320,1080287.4322134813
325,1332905.5387054358
326,1090225.4385819978
329,1147216.3538597268
332,1385984.552667061
335,979464.0230976891
340,1072685.3329440404
344,1283218.0444888547
345,1328441.3240713314
346,1093084.2105078392
350,1376072.2280220184
353,1230831.6099886475
356,1192787.6034528953
357,1241330.4703664726
359,1218276.6710421504
361,921577.628662858
365,1025843.158362912
366,1016602.8429247736
371,1176131.67902175
372,1104442.1768370306
373,1181958.5147032202
375,1037994.1534814028
378,1222613.472734159
380,1011584.325550834
381,1024847.5938243353
385,1055969.066267983
386,1247098.2426562326
389,896930.8458752205
395,1109486.2922795329
400,1250181.3981123895
402,1234179.0146094451
406,1096636.5164766738
412,981272.065651168
418,1084913.3462516398
419,1016702.9262420682
425,1221390.7575128884
426,1152712.802231514
427,1067906.436129953
428,1095804.2089913206
436,1363148.3860945306
437,1115441.0485063402
439,869455.0938020659
442,1073780.1465184963
444,964671.8381360885
448,1238055.7339254832
452,1067104.4751301731
454,987416.0389407512
455,1321871.721322819
456,1232511.238259259
465,1309557.9100810126
468,1117020.5576538662
470,1058841.709199159
473,1242781.6921562564
479,1038900.6218299464
481,1302682.0026145463
486,924462.6235508752
490,1185608.1239800877
492,1049312.7967356688
494,1337782.782127486
500,1054984.5571077436
503,975346.872761872
507,1151151.48785725
508,1295279.2539704598
511,1151455.875226232
524,1009894.853738526
526,1452010.1637545545
535,1018556.375142476
536,1154713.1138529954
538,1175561.8525480323
565,950079.1880497352
569,1065106.1748482776
571,958092.4399726812
572,901043.3798165838
575,1208072.2617835982
576,1226923.979489739
581,1055419.434172544
584,972785.6629770396
590,1063537.8996102724
595,1103232.4007287193
602,922640.2393589588
605,981606.15909299
607,1004960.2192526268
608,1061666.7991202492
619,1038541.7137748552
620,1208242.634906238
622,1148209.7921037136
623,1121062.912249218
624,1191982.245046959
627,1406958.2712262017
631,1137965.8488051184
640,1151733.8166898282
653,1233841.3953770178
656,1192052.9915582773
662,1385213.6112580164
664,1131809.107001744
668,968454.925718246
673,1210751.3329976776
674,1225540.8158057025
678,1172014.8500024048
679,995146.687991411
682,1082097.1204600795
692,1320951.8183494646
699,1211639.8193964742
704,1168180.8591171168
705,1130928.3725566666
707,1105106.8224135055
712,991055.3456591468
713,944549.0162423672
723,1093955.9903634165
726,1303929.6582186937
734,938898.331482214
735,1184979.8027912036
736,1070773.359828896
744,1235940.9022452403
749,1500114.5250038486
750,1128941.8111918536
752,1116555.8791341777
753,964271.5363214888
754,888946.7988694834
755,959921.6418026448
758,1312889.7286188682
760,1119701.6155214496
766,1067776.6285390265
773,1155326.1736463148
781,1321971.7313072258
783,946770.2319027754
785,1118939.6865663908
788,1108849.2253310983
790,1132672.8341958458
798,1114373.6242955078
800,1207149.5957450788
804,1214293.603599534
806,1152272.8236162846
808,1142315.6419792208
812,1205684.9739314662
813,1278945.5524116743
818,1234409.1880888147
820,1132261.646554187
828,962386.0555708924
831,1187257.7369608178
833,1258998.2118572164
835,1234856.3661483112
839,980512.7103440833
840,1372689.6380927088
844,1245216.2442681815
847,1096248.4917608176
852,1064475.7063779137
853,1080927.284664755
856,1145474.84061196
861,1235912.5355930736
868,1266528.900388559
870,968570.8655580272
874,1274942.8377346753
876,1041838.1179439132
878,1351318.8565926957
883,1034511.2608250176
888,968039.834727713
890,1128836.2916953885
893,1102285.612253599
894,1313418.3799036124
898,996548.5141999492
908,1182639.3060768142
911,1225686.6790871243
915,1183120.7621744513
922,1134336.066236589
927,979094.4565374984
929,1184454.1475824856
935,1099893.873403382
936,1218527.3592681596
939,1004873.6036547133
944,1004309.9685493578
950,974177.2107572652
951,1021854.4830696046
958,963541.4976628778
962,1243637.361651262
964,1237438.052864646
971,1008143.6902097987
976,1207541.2553115964
980,893451.1881270467
986,1080696.2710828716
995,1472735.3459061394
997,1181500.2909393895
998,1289060.9577599545
999,1049797.5936686776
1000,1162489.7889054036
