technology_3,timestep_2,carrier_1,carrier_2,parameter,value,source
methaneBoilerProLow,,,,avaConv,0.95,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
methaneBoilerProHigh,2040,,,lifeConv,17,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
methaneBoilerProHigh,,,,effConv,0.927,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
methaneBoilerProHigh,,,,costExpConv,58.9,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
methaneBoilerProHigh,2040,,,costOprConv,1.2,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
methaneBoilerProHigh,,,,avaConv,0.95,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
heatpumpGroundProMed,2040,,,lifeConv,30,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
heatpumpGroundProMed,,,,effConv,3.5,https://web.archive.org/web/20120217184539/http://geoheat.oit.edu/bulletin/bull18-2/art1.pdf
heatpumpGroundProMed,,,,costExpConv,1500,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
heatpumpGroundProMed,2040,,,costOprConv,57,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
heatpumpGroundProMed,,,,avaConv,0.85,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
heatpumpGroundProLow,2040,,,lifeConv,30,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
heatpumpGroundProLow,,,,effConv,3.5,https://web.archive.org/web/20120217184539/http://geoheat.oit.edu/bulletin/bull18-2/art1.pdf
heatpumpGroundProLow,,,,costExpConv,1500,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
heatpumpGroundProLow,2040,,,costOprConv,57,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
heatpumpGroundProLow,,,,avaConv,0.85,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
heatpumpAirProLow,2040,,,lifeConv,20,
heatpumpAirProLow,,,,effConv,2.8,
heatpumpAirProLow,,,,costExpConv,2044,
heatpumpAirProLow,2040,,,costOprConv,2.24,
heatpumpAirProLow,,,,avaConv,0.990384615,
h2BoilerProMed,2040,,,lifeConv,25,
h2BoilerProMed,,,,effConv,1.026666667,
h2BoilerProMed,,,,costExpConv,51.5,
h2BoilerProMed,2040,,,costOprConv,1.854,
h2BoilerProMed,,,,avaConv,0.982307692,
h2BoilerProLow,2040,,,lifeConv,25,
h2BoilerProLow,,,,effConv,1.026666667,
h2BoilerProLow,,,,costExpConv,41.2,
h2BoilerProLow,2040,,,costOprConv,1.854,
h2BoilerProLow,,,,avaConv,0.982307692,
h2BoilerProHigh,2040,,,lifeConv,15,
h2BoilerProHigh,,,,effConv,1,
h2BoilerProHigh,,,,costExpConv,15,
h2BoilerProHigh,2040,,,costOprConv,0.172727273,
h2BoilerProHigh,,,,avaConv,0.987884615,
eBoilerProMed,2040,,,lifeConv,25,
eBoilerProMed,,,,effConv,0.99,
eBoilerProMed,,,,costExpConv,69.3,
