timestep_2,region_4,technology_1,technology_2,technology_3,parameter,value,comment,"for eBoilerProHigh and eBoilerProMed potential is estimated in techData -> processHeatPotential, other technologies use existing capacities computed in heatInpus -> heatDemStock as upper limit",,,,,,,,,,,,,,,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp
all,59RO,gasTurbine,ccgtProMed,,capaConvUp,0.1247,,,,,,,,,,,,,,,,,,,,
all,60RO,gasTurbine,ccgtProMed,,capaConvUp,0.1971,,,,,,,,,,,,,,,,,,,,
all,61RO,gasTurbine,ccgtProMed,,capaConvUp,0.0903,,,,,,,,,,,,,,,,,,,,
all,62HR,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,63BA,gasTurbine,ccgtProMed,,capaConvUp,0.2017,,,,,,,,,,,,,,,,,,,,
all,64ME,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,65RS,gasTurbine,ccgtProMed,,capaConvUp,0.4237,,,,,,,,,,,,,,,,,,,,
all,66BG,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,67MK,gasTurbine,ccgtProMed,,capaConvUp,0.1214,,,,,,,,,,,,,,,,,,,,
all,68GR,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,69GR,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,70AL,gasTurbine,ccgtProMed,,capaConvUp,0.1724,,,,,,,,,,,,,,,,,,,,
all,72DK,gasTurbine,ccgtProMed,,capaConvUp,0.1111,,,,,,,,,,,,,,,,,,,,
all,73EE,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,74FI,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,75FI,gasTurbine,ccgtProMed,,capaConvUp,0.1281,,,,,,,,,,,,,,,,,,,,
all,77LT,gasTurbine,ccgtProMed,,capaConvUp,0.0605,,,,,,,,,,,,,,,,,,,,
all,78LV,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,79NO,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,80NO,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,81NO,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,82NO,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,83NO,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,84NO,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,85NO,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,86SE,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,87SE,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,88SE,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,89SE,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,90UK,gasTurbine,ccgtProMed,,capaConvUp,0.1189,,,,,,,,,,,,,,,,,,,,
all,91UK,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,92UK,gasTurbine,ccgtProMed,,capaConvUp,0.1731,,,,,,,,,,,,,,,,,,,,
all,93UK,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,94UK,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,95UK,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,96IE,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,98IT,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,99FR,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,01ES,engine,engineProMed,,capaConvUp,0.0851,,,,,,,,,,,,,,,,,,,,
all,02ES,engine,engineProMed,,capaConvUp,0.0931,,,,,,,,,,,,,,,,,,,,
all,03ES,engine,engineProMed,,capaConvUp,0.0756,,,,,,,,,,,,,,,,,,,,
all,04ES,engine,engineProMed,,capaConvUp,0.1802,,,,,,,,,,,,,,,,,,,,
all,05ES,engine,engineProMed,,capaConvUp,0.0739,,,,,,,,,,,,,,,,,,,,
all,06ES,engine,engineProMed,,capaConvUp,0.5375,,,,,,,,,,,,,,,,,,,,
all,07ES,engine,engineProMed,,capaConvUp,0.2172,,,,,,,,,,,,,,,,,,,,
all,08ES,engine,engineProMed,,capaConvUp,0.0656,,,,,,,,,,,,,,,,,,,,
all,09ES,engine,engineProMed,,capaConvUp,0.1049,,,,,,,,,,,,,,,,,,,,
all,10ES,engine,engineProMed,,capaConvUp,0.0603,,,,,,,,,,,,,,,,,,,,
all,11ES,engine,engineProMed,,capaConvUp,0.3678,,,,,,,,,,,,,,,,,,,,
all,12PT,engine,engineProMed,,capaConvUp,0.5842,,,,,,,,,,,,,,,,,,,,
all,13PT,engine,engineProMed,,capaConvUp,0.3089,,,,,,,,,,,,,,,,,,,,
all,14FR,engine,engineProMed,,capaConvUp,0.0693,,,,,,,,,,,,,,,,,,,,
all,15FR,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,16FR,engine,engineProMed,,capaConvUp,0.0559,,,,,,,,,,,,,,,,,,,,
all,17FR,engine,engineProMed,,capaConvUp,0.0654,,,,,,,,,,,,,,,,,,,,
all,18FR,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,19FR,engine,engineProMed,,capaConvUp,0.0545,,,,,,,,,,,,,,,,,,,,
all,20FR,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,21FR,engine,engineProMed,,capaConvUp,0.094,,,,,,,,,,,,,,,,,,,,
all,22FR,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,23FR,engine,engineProMed,,capaConvUp,0.4352,,,,,,,,,,,,,,,,,,,,
all,24FR,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,25FR,engine,engineProMed,,capaConvUp,0.0806,,,,,,,,,,,,,,,,,,,,
all,26FR,engine,engineProMed,,capaConvUp,0.0811,,,,,,,,,,,,,,,,,,,,
all,27FR,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,28BE,engine,engineProMed,,capaConvUp,0.7066,,,,,,,,,,,,,,,,,,,,
all,29LU,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,30NL,engine,engineProMed,,capaConvUp,0.245,,,,,,,,,,,,,,,,,,,,
all,31DE,engine,engineProMed,,capaConvUp,0.2809,,,,,,,,,,,,,,,,,,,,
all,32DE,engine,engineProMed,,capaConvUp,0.1268,,,,,,,,,,,,,,,,,,,,
all,33DE,engine,engineProMed,,capaConvUp,0.4785,,,,,,,,,,,,,,,,,,,,
all,34DE,engine,engineProMed,,capaConvUp,0.2133,,,,,,,,,,,,,,,,,,,,
all,35DE,engine,engineProMed,,capaConvUp,0.3372,,,,,,,,,,,,,,,,,,,,
all,36DE,engine,engineProMed,,capaConvUp,0.3606,,,,,,,,,,,,,,,,,,,,
all,37DE,engine,engineProMed,,capaConvUp,0.4,,,,,,,,,,,,,,,,,,,,
all,38DK,engine,engineProMed,,capaConvUp,0.1873,,,,,,,,,,,,,,,,,,,,
all,39CZ,engine,engineProMed,,capaConvUp,0.3237,,,,,,,,,,,,,,,,,,,,
all,40CZ,engine,engineProMed,,capaConvUp,0.276,,,,,,,,,,,,,,,,,,,,
all,41PL,engine,engineProMed,,capaConvUp,0.3354,,,,,,,,,,,,,,,,,,,,
all,42PL,engine,engineProMed,,capaConvUp,0.1862,,,,,,,,,,,,,,,,,,,,
all,43PL,engine,engineProMed,,capaConvUp,0.2969,,,,,,,,,,,,,,,,,,,,
all,44PL,engine,engineProMed,,capaConvUp,0.329,,,,,,,,,,,,,,,,,,,,
all,45PL,engine,engineProMed,,capaConvUp,0.2207,,,,,,,,,,,,,,,,,,,,
all,46SK,engine,engineProMed,,capaConvUp,0.2249,,,,,,,,,,,,,,,,,,,,
all,47CH,engine,engineProMed,,capaConvUp,1.8741,,,,,,,,,,,,,,,,,,,,
all,48CH,engine,engineProMed,,capaConvUp,0.1942,,,,,,,,,,,,,,,,,,,,
all,49AT,engine,engineProMed,,capaConvUp,0.4283,,,,,,,,,,,,,,,,,,,,
all,50AT,engine,engineProMed,,capaConvUp,0.7931,,,,,,,,,,,,,,,,,,,,
all,51AT,engine,engineProMed,,capaConvUp,0.5301,,,,,,,,,,,,,,,,,,,,
all,52IT,engine,engineProMed,,capaConvUp,0.1111,,,,,,,,,,,,,,,,,,,,
all,53IT,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,54IT,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,55IT,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,56IT,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,57SI,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,58HU,engine,engineProMed,,capaConvUp,0.0555,,,,,,,,,,,,,,,,,,,,
all,59RO,engine,engineProMed,,capaConvUp,0.0501,,,,,,,,,,,,,,,,,,,,
all,60RO,engine,engineProMed,,capaConvUp,0.0792,,,,,,,,,,,,,,,,,,,,
all,61RO,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,62HR,engine,engineProMed,,capaConvUp,0.056,,,,,,,,,,,,,,,,,,,,
all,63BA,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,64ME,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,65RS,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,66BG,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,67MK,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,68GR,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,69GR,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,70AL,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,72DK,engine,engineProMed,,capaConvUp,0.0768,,,,,,,,,,,,,,,,,,,,
all,73EE,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
