carrier,pyrolysisOil,biomassToHvc,chp,boilerDh,boilerSpace,boilerProLow,boilerProMed,boilerProHigh,liquefaction,digestion,gasification,carbonization,pyrolysisCoal,CCC
wood,0.0,-43.493867906508974,-0.00025997198392776946,-4.5539689034515736e-5,-39.637200665635945,-0.0001560840329322954,0.0,-187.29706098772556,0.0,0.0,0.0,0.0,-0.00033015007295989136,-0.00029050376957547415
greenWaste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.3791922654674,-30.00090515382638,-5.297899227789942e-5,0.0,0.0,0.0
manure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.40959543227423,-52.15745053145853,0.0,0.0,0.0,0.0
sludge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.262775575120227,0.0,0.0,0.0,0.0,0.0
digestate,0.0,0.0,-3.867409683838812e-5,-0.00010775789370232988,0.0,-0.057991914023317055,-4.486932052933434e-5,-57.53279916206765,0.0,0.0,0.0,0.0,0.0,-0.0002635000808074951
