region_4,technology_3,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
63BA,reservoir,capaStOutResi,1.6159,capaStInResi,0,capaStSizeResi,1711.51
64ME,reservoir,capaStOutResi,1.0584,capaStInResi,0,capaStSizeResi,582.4
65RS,reservoir,capaStOutResi,0.43427,capaStInResi,0,capaStSizeResi,646
66BG,reservoir,capaStOutResi,1.2813,capaStInResi,0,capaStSizeResi,843
67MK,reservoir,capaStOutResi,0.6706,capaStInResi,0,capaStSizeResi,628.2
68GR,reservoir,capaStOutResi,2.7437,capaStInResi,0,capaStSizeResi,3600
69GR,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
70AL,reservoir,capaStOutResi,2.092944,capaStInResi,0,capaStSizeResi,1450
72DK,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
73EE,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
74FI,reservoir,capaStOutResi,1.210483937,capaStInResi,0,capaStSizeResi,2068.205985
75FI,reservoir,capaStOutResi,2.026126063,capaStInResi,0,capaStSizeResi,3461.794015
77LT,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
78LV,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
79NO,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
80NO,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
81NO,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
82NO,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
83NO,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
84NO,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
85NO,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
86SE,reservoir,capaStOutResi,5.444,capaStInResi,0,capaStSizeResi,14426.307
87SE,reservoir,capaStOutResi,8.0751,capaStInResi,0,capaStSizeResi,14798.5989
88SE,reservoir,capaStOutResi,2.583,capaStInResi,0,capaStSizeResi,2635.077
89SE,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
