crudeOil;HVC;syngas;initial cluster;cluster_final
152.8253356;518.0205475;146.953602;1;1
335.9156094;501.8111551;5.8e-05;0;0
161.0071522;470.661705;188.6831699;1;1
358.9543587;348.9976372;0.219877436;0;0
166.1487742;609.5566347;172.4557486;1;1
237.86175;450.2260566;115.0525726;1;1
176.0404804;476.1983238;187.7182448;1;1
222.1472909;402.2857367;169.9224559;1;1
208.92128;568.6998972;209.3594602;1;1
380.0467093;414.8875081;0.000721861;0;0
133.8481654;502.0990607;129.917236;1;1
365.1901386;605.5668653;0.001313823;0;0
358.1152919;479.052724;16.78235033;0;0
198.3824113;598.0523364;178.6194285;1;1
353.7328218;487.8393203;0.76472687;0;0
132.1114034;579.2238677;146.1371095;1;1
329.9213795;512.1918428;0.003099325;0;0
311.9697741;559.7099786;0.000525099;0;0
405.8363114;419.2729474;0.003584135;0;0
212.6429923;497.1124052;213.564898;1;1
415.1232036;429.1584106;0.030282295;0;0
225.2851875;487.5923073;208.978146;1;1
358.3307694;531.434872;0.168617627;0;0
249.1496031;397.0006635;102.6054633;1;1
397.7016071;450.3633265;6.85e-05;0;0
198.0708296;347.3330233;188.4583253;1;1
305.9213999;505.3678014;0.246528914;0;0
169.8330125;423.3369501;200.4568922;1;1
386.1573797;590.8344355;0.000410371;0;0
139.9038897;515.4745126;232.3126129;1;1
219.1578279;557.6697121;220.8836071;1;1
348.2497358;552.7521851;54.25961233;0;0
354.7323234;468.5183495;0.131103444;0;0
155.6473241;454.386838;167.1852747;1;1
182.6174749;510.3467562;197.475753;1;1
185.5425344;417.2344084;215.9870996;1;1
273.3715032;491.4869758;0.000999019;0;0
208.1112788;604.356737;183.0310149;1;1
189.8912185;417.7992006;132.2194277;1;1
316.6328882;407.9417712;0.000121996;0;0
217.6651371;476.7615215;155.7353681;1;1
147.302266;377.845123;220.5218287;1;1
218.626085;433.7900413;141.5382533;1;1
403.9717065;374.829612;0.000313468;0;0
319.3992222;349.8052884;0.000791501;0;0
159.0224157;408.5250472;188.4248822;1;1
183.1007304;363.8482773;127.1434631;1;1
194.998294;469.523626;172.9195856;1;1
