iteration,crudeOil,HVC,CHP,LTH,MTH,HTH,DH,SpaceHeating,rawBiogas,syngas,coal
62,0.0,0.0,0.0,0.0,0.0,0.0,-363.20046362850695,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,-499.2374625229453,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,-335.17360033207524,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,-477.3860652401967,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,-572.9693423342034,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,-442.2089747212733,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,-536.7375059086785,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,-415.3607015848237,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,-593.4131468897507,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,-522.7750758645302,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,-411.9328555933335,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,-414.135960888663,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,-445.5087246801156,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,-367.791011749468,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,-456.8577298118242,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,-548.5035491991451,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,-566.8972324794515,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,-382.7353452480879,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,-485.4402666132665,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,-408.3844960934837,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,-596.3111357608549,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,-588.6494019602852,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,-619.0624393667617,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,-445.8650894790208,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,-365.66889749227687,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,-403.1316496352756,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,-463.9224700910462,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0,-485.7571860191665,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,-346.15729705684413,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,-422.83298772274753,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,-399.4170016950145,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,-602.9793159880802,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,-349.42668500855024,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,-440.1564049330064,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,-372.5343868639059,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,-518.0206308059691,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,-501.8115034250784,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,-470.683739047488,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,-349.05803117892026,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,-609.5568816587249,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0,-450.22621098654673,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,-476.198406116175,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,-402.2862065139754,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0,-568.7000206097769,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0,-414.8878177011507,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0,-502.0993464235111,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,0.0,0.0,-605.5674445244972,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,-479.1520077906053,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,-598.052511524752,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0,-487.9764985274565,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,-579.2239802503145,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0,-512.1920630956,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,-559.7101349854283,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,-419.2746824974206,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,0.0,0.0,-497.1125098973938,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0,0.0,0.0,-429.1587661780932,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,-487.5924691072593,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,0.0,0.0,-531.4350536764051,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0,-397.0049340325127,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0,0.0,0.0,-450.3634003390624,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,0.0,0.0,-347.36568476778285,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,0.0,0.0,-505.438574313216,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0,0.0,0.0,-423.3906331731952,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,-590.8345586748195,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0,0.0,0.0,-515.4749102957586,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,0.0,0.0,-557.6699018230072,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0,-552.7523328934568,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0,0.0,0.0,-468.5476026186792,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0,-454.3983842510052,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0,0.0,0.0,-510.3468825277288,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0,0.0,0.0,-417.2344273878337,0.0,0.0,0.0,0.0
133,0.0,0.0,0.0,0.0,0.0,0.0,-491.4873740830602,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0,0.0,0.0,-604.3567823873287,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0,0.0,0.0,-417.8870092410014,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0,0.0,0.0,-407.9418989738281,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0,0.0,0.0,-476.78166311367175,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0,0.0,0.0,-377.84531567038624,0.0,0.0,0.0,0.0
