timestep_4,region_4,technology_3,parameter,value
hh0001,70AL,heatpumpAirSpace,effConv,2.915758803
hh0002,70AL,heatpumpAirSpace,effConv,2.930678106
hh0003,70AL,heatpumpAirSpace,effConv,2.949979644
hh0004,70AL,heatpumpAirSpace,effConv,2.932251079
hh0005,70AL,heatpumpAirSpace,effConv,2.831947181
hh0006,70AL,heatpumpAirSpace,effConv,2.87443909
hh0007,70AL,heatpumpAirSpace,effConv,3.267779367
hh0008,70AL,heatpumpAirSpace,effConv,3.356981806
hh0009,70AL,heatpumpAirSpace,effConv,3.411059566
hh0010,70AL,heatpumpAirSpace,effConv,3.481708553
hh0011,70AL,heatpumpAirSpace,effConv,3.186693007
hh0012,70AL,heatpumpAirSpace,effConv,3.27588107
hh0013,70AL,heatpumpAirSpace,effConv,3.27070092
hh0014,70AL,heatpumpAirSpace,effConv,3.578496543
hh0015,70AL,heatpumpAirSpace,effConv,3.83563327
hh0016,70AL,heatpumpAirSpace,effConv,3.751026925
hh0017,70AL,heatpumpAirSpace,effConv,3.571909201
hh0018,70AL,heatpumpAirSpace,effConv,3.48571945
hh0019,70AL,heatpumpAirSpace,effConv,3.575618733
hh0020,70AL,heatpumpAirSpace,effConv,3.780612812
hh0021,70AL,heatpumpAirSpace,effConv,3.764409775
hh0022,70AL,heatpumpAirSpace,effConv,3.850238683
hh0023,70AL,heatpumpAirSpace,effConv,3.742640313
hh0024,70AL,heatpumpAirSpace,effConv,3.654992069
hh0025,70AL,heatpumpAirSpace,effConv,3.561188401
hh0026,70AL,heatpumpAirSpace,effConv,3.665831007
hh0027,70AL,heatpumpAirSpace,effConv,3.655007203
hh0028,70AL,heatpumpAirSpace,effConv,3.455585471
hh0029,70AL,heatpumpAirSpace,effConv,3.271277461
hh0030,70AL,heatpumpAirSpace,effConv,3.228254136
hh0031,70AL,heatpumpAirSpace,effConv,3.157479656
hh0032,70AL,heatpumpAirSpace,effConv,3.319056294
hh0033,70AL,heatpumpAirSpace,effConv,3.641482695
hh0034,70AL,heatpumpAirSpace,effConv,3.672113387
hh0035,70AL,heatpumpAirSpace,effConv,3.427764777
hh0036,70AL,heatpumpAirSpace,effConv,3.349190446
hh0037,70AL,heatpumpAirSpace,effConv,3.511983784
hh0038,70AL,heatpumpAirSpace,effConv,3.426133911
hh0039,70AL,heatpumpAirSpace,effConv,3.74861541
hh0040,70AL,heatpumpAirSpace,effConv,3.932414821
hh0041,70AL,heatpumpAirSpace,effConv,3.627186569
hh0042,70AL,heatpumpAirSpace,effConv,3.671973317
hh0043,70AL,heatpumpAirSpace,effConv,3.84710378
hh0044,70AL,heatpumpAirSpace,effConv,3.63098973
hh0045,70AL,heatpumpAirSpace,effConv,3.698195682
hh0046,70AL,heatpumpAirSpace,effConv,3.790986517
hh0047,70AL,heatpumpAirSpace,effConv,3.578206611
hh0048,70AL,heatpumpAirSpace,effConv,3.516465229
