timestep_4,region_4,technology_3,parameter,value
hh0049,70AL,heatpumpAirSpace,effConv,3.471442706
hh0050,70AL,heatpumpAirSpace,effConv,3.391484866
hh0051,70AL,heatpumpAirSpace,effConv,3.266173694
hh0052,70AL,heatpumpAirSpace,effConv,3.308932078
hh0053,70AL,heatpumpAirSpace,effConv,3.167417783
hh0054,70AL,heatpumpAirSpace,effConv,3.144546637
hh0055,70AL,heatpumpAirSpace,effConv,3.197142468
hh0056,70AL,heatpumpAirSpace,effConv,3.124672313
hh0057,70AL,heatpumpAirSpace,effConv,2.862978432
hh0058,70AL,heatpumpAirSpace,effConv,2.871487786
hh0059,70AL,heatpumpAirSpace,effConv,3.233165419
hh0060,70AL,heatpumpAirSpace,effConv,3.392892687
hh0061,70AL,heatpumpAirSpace,effConv,3.370688579
hh0062,70AL,heatpumpAirSpace,effConv,3.583226916
hh0063,70AL,heatpumpAirSpace,effConv,3.640458897
hh0064,70AL,heatpumpAirSpace,effConv,3.818812775
hh0065,70AL,heatpumpAirSpace,effConv,3.807521772
hh0066,70AL,heatpumpAirSpace,effConv,3.718857339
hh0067,70AL,heatpumpAirSpace,effConv,3.783418211
hh0068,70AL,heatpumpAirSpace,effConv,3.731015099
hh0069,70AL,heatpumpAirSpace,effConv,3.8174582
hh0070,70AL,heatpumpAirSpace,effConv,3.958213487
hh0071,70AL,heatpumpAirSpace,effConv,3.922387269
hh0072,70AL,heatpumpAirSpace,effConv,3.743961861
hh0073,70AL,heatpumpAirSpace,effConv,4.009434048
hh0074,70AL,heatpumpAirSpace,effConv,3.813426895
hh0075,70AL,heatpumpAirSpace,effConv,3.857744493
hh0076,70AL,heatpumpAirSpace,effConv,3.981951828
hh0077,70AL,heatpumpAirSpace,effConv,3.762470236
hh0078,70AL,heatpumpAirSpace,effConv,3.470369591
hh0079,70AL,heatpumpAirSpace,effConv,3.305480416
hh0080,70AL,heatpumpAirSpace,effConv,3.38146518
hh0081,70AL,heatpumpAirSpace,effConv,3.489635125
hh0082,70AL,heatpumpAirSpace,effConv,3.643772425
hh0083,70AL,heatpumpAirSpace,effConv,3.727903416
hh0084,70AL,heatpumpAirSpace,effConv,3.805183242
hh0085,70AL,heatpumpAirSpace,effConv,3.940790929
hh0086,70AL,heatpumpAirSpace,effConv,3.759920664
hh0087,70AL,heatpumpAirSpace,effConv,3.900565424
hh0088,70AL,heatpumpAirSpace,effConv,3.959028928
hh0089,70AL,heatpumpAirSpace,effConv,3.828970398
hh0090,70AL,heatpumpAirSpace,effConv,3.93594917
hh0091,70AL,heatpumpAirSpace,effConv,4.028445128
hh0092,70AL,heatpumpAirSpace,effConv,3.955500425
hh0093,70AL,heatpumpAirSpace,effConv,3.887272346
hh0094,70AL,heatpumpAirSpace,effConv,3.482773501
hh0095,70AL,heatpumpAirSpace,effConv,3.464056932
hh0096,70AL,heatpumpAirSpace,effConv,3.459330236
hh0097,70AL,heatpumpAirSpace,effConv,3.346140013
hh0098,70AL,heatpumpAirSpace,effConv,3.791185027
hh0099,70AL,heatpumpAirSpace,effConv,3.615634194
hh0100,70AL,heatpumpAirSpace,effConv,3.666580249
hh0101,70AL,heatpumpAirSpace,effConv,3.563285518
hh0102,70AL,heatpumpAirSpace,effConv,3.45623401
hh0103,70AL,heatpumpAirSpace,effConv,3.289523358
hh0104,70AL,heatpumpAirSpace,effConv,3.625207417
hh0105,70AL,heatpumpAirSpace,effConv,3.811400648
hh0106,70AL,heatpumpAirSpace,effConv,3.958945176
hh0107,70AL,heatpumpAirSpace,effConv,3.914569943
hh0108,70AL,heatpumpAirSpace,effConv,3.848478483
hh0109,70AL,heatpumpAirSpace,effConv,3.756761691
hh0110,70AL,heatpumpAirSpace,effConv,3.877062061
hh0111,70AL,heatpumpAirSpace,effConv,3.983838041
hh0112,70AL,heatpumpAirSpace,effConv,3.945586522
hh0113,70AL,heatpumpAirSpace,effConv,3.858242925
hh0114,70AL,heatpumpAirSpace,effConv,3.917418387
hh0115,70AL,heatpumpAirSpace,effConv,3.864651987
hh0116,70AL,heatpumpAirSpace,effConv,3.782441852
hh0117,70AL,heatpumpAirSpace,effConv,3.990092672
hh0118,70AL,heatpumpAirSpace,effConv,4.002164807
hh0119,70AL,heatpumpAirSpace,effConv,3.893114568
hh0120,70AL,heatpumpAirSpace,effConv,3.960809109
hh0121,70AL,heatpumpAirSpace,effConv,4.06
hh0122,70AL,heatpumpAirSpace,effConv,4.06
hh0123,70AL,heatpumpAirSpace,effConv,4.06
hh0124,70AL,heatpumpAirSpace,effConv,4.026793781
hh0125,70AL,heatpumpAirSpace,effConv,3.964031135
hh0126,70AL,heatpumpAirSpace,effConv,3.822060635
hh0127,70AL,heatpumpAirSpace,effConv,3.920688088
hh0128,70AL,heatpumpAirSpace,effConv,3.969655217
hh0129,70AL,heatpumpAirSpace,effConv,3.962908827
hh0130,70AL,heatpumpAirSpace,effConv,3.985274892
hh0131,70AL,heatpumpAirSpace,effConv,4.027615013
hh0132,70AL,heatpumpAirSpace,effConv,4.06
hh0133,70AL,heatpumpAirSpace,effConv,4.052913338
hh0134,70AL,heatpumpAirSpace,effConv,4.041869955
hh0135,70AL,heatpumpAirSpace,effConv,4.052912248
hh0136,70AL,heatpumpAirSpace,effConv,4.054487426
hh0137,70AL,heatpumpAirSpace,effConv,4.03868918
hh0138,70AL,heatpumpAirSpace,effConv,3.964769414
hh0139,70AL,heatpumpAirSpace,effConv,3.942415661
hh0140,70AL,heatpumpAirSpace,effConv,4.009445799
hh0141,70AL,heatpumpAirSpace,effConv,4.015696806
hh0142,70AL,heatpumpAirSpace,effConv,4.009344461
hh0143,70AL,heatpumpAirSpace,effConv,3.987064368
hh0144,70AL,heatpumpAirSpace,effConv,4.03237915
hh0145,70AL,heatpumpAirSpace,effConv,4.044242032
hh0146,70AL,heatpumpAirSpace,effConv,4.059212955
hh0147,70AL,heatpumpAirSpace,effConv,4.052122296
hh0148,70AL,heatpumpAirSpace,effConv,4.054486697
hh0149,70AL,heatpumpAirSpace,effConv,4.051334149
hh0150,70AL,heatpumpAirSpace,effConv,4.03237915
hh0151,70AL,heatpumpAirSpace,effConv,4.050548939
hh0152,70AL,heatpumpAirSpace,effConv,4.06
hh0153,70AL,heatpumpAirSpace,effConv,4.06
hh0154,70AL,heatpumpAirSpace,effConv,4.049739884
hh0155,70AL,heatpumpAirSpace,effConv,4.038692724
hh0156,70AL,heatpumpAirSpace,effConv,4.056064053
hh0157,70AL,heatpumpAirSpace,effConv,4.057638866
hh0158,70AL,heatpumpAirSpace,effConv,4.055276646
hh0159,70AL,heatpumpAirSpace,effConv,4.033140561
hh0160,70AL,heatpumpAirSpace,effConv,4.043419927
hh0161,70AL,heatpumpAirSpace,effConv,4.053699292
hh0162,70AL,heatpumpAirSpace,effConv,4.06
hh0163,70AL,heatpumpAirSpace,effConv,4.06
hh0164,70AL,heatpumpAirSpace,effConv,4.06
hh0165,70AL,heatpumpAirSpace,effConv,4.06
hh0166,70AL,heatpumpAirSpace,effConv,4.06
hh0167,70AL,heatpumpAirSpace,effConv,4.06
hh0168,70AL,heatpumpAirSpace,effConv,4.06
hh0169,70AL,heatpumpAirSpace,effConv,4.06
hh0170,70AL,heatpumpAirSpace,effConv,4.06
hh0171,70AL,heatpumpAirSpace,effConv,4.06
hh0172,70AL,heatpumpAirSpace,effConv,4.06
hh0173,70AL,heatpumpAirSpace,effConv,4.06
hh0174,70AL,heatpumpAirSpace,effConv,4.06
hh0175,70AL,heatpumpAirSpace,effConv,4.06
hh0176,70AL,heatpumpAirSpace,effConv,4.06
hh0177,70AL,heatpumpAirSpace,effConv,4.06
hh0178,70AL,heatpumpAirSpace,effConv,4.06
hh0179,70AL,heatpumpAirSpace,effConv,4.06
hh0180,70AL,heatpumpAirSpace,effConv,4.06
hh0181,70AL,heatpumpAirSpace,effConv,4.06
hh0182,70AL,heatpumpAirSpace,effConv,4.06
hh0183,70AL,heatpumpAirSpace,effConv,4.06
hh0184,70AL,heatpumpAirSpace,effConv,4.06
hh0185,70AL,heatpumpAirSpace,effConv,4.06
hh0186,70AL,heatpumpAirSpace,effConv,4.06
hh0187,70AL,heatpumpAirSpace,effConv,4.06
hh0188,70AL,heatpumpAirSpace,effConv,4.06
hh0189,70AL,heatpumpAirSpace,effConv,4.06
hh0190,70AL,heatpumpAirSpace,effConv,4.06
hh0191,70AL,heatpumpAirSpace,effConv,4.06
hh0192,70AL,heatpumpAirSpace,effConv,4.06
hh0193,70AL,heatpumpAirSpace,effConv,4.06
hh0194,70AL,heatpumpAirSpace,effConv,4.06
hh0195,70AL,heatpumpAirSpace,effConv,4.06
hh0196,70AL,heatpumpAirSpace,effConv,4.06
hh0197,70AL,heatpumpAirSpace,effConv,4.06
hh0198,70AL,heatpumpAirSpace,effConv,4.06
hh0199,70AL,heatpumpAirSpace,effConv,4.06
hh0200,70AL,heatpumpAirSpace,effConv,4.06
hh0201,70AL,heatpumpAirSpace,effConv,4.06
hh0202,70AL,heatpumpAirSpace,effConv,4.06
hh0203,70AL,heatpumpAirSpace,effConv,4.06
hh0204,70AL,heatpumpAirSpace,effConv,4.06
hh0205,70AL,heatpumpAirSpace,effConv,4.06
hh0206,70AL,heatpumpAirSpace,effConv,4.06
hh0207,70AL,heatpumpAirSpace,effConv,4.06
hh0208,70AL,heatpumpAirSpace,effConv,4.06
hh0209,70AL,heatpumpAirSpace,effConv,4.06
hh0210,70AL,heatpumpAirSpace,effConv,4.06
hh0211,70AL,heatpumpAirSpace,effConv,4.06
hh0212,70AL,heatpumpAirSpace,effConv,4.06
hh0213,70AL,heatpumpAirSpace,effConv,4.06
hh0214,70AL,heatpumpAirSpace,effConv,4.06
hh0215,70AL,heatpumpAirSpace,effConv,4.06
hh0216,70AL,heatpumpAirSpace,effConv,4.06
hh0217,70AL,heatpumpAirSpace,effConv,4.06
hh0218,70AL,heatpumpAirSpace,effConv,4.06
hh0219,70AL,heatpumpAirSpace,effConv,4.06
hh0220,70AL,heatpumpAirSpace,effConv,4.06
hh0221,70AL,heatpumpAirSpace,effConv,4.06
hh0222,70AL,heatpumpAirSpace,effConv,4.06
hh0223,70AL,heatpumpAirSpace,effConv,4.06
hh0224,70AL,heatpumpAirSpace,effConv,4.06
hh0225,70AL,heatpumpAirSpace,effConv,4.06
hh0226,70AL,heatpumpAirSpace,effConv,4.06
hh0227,70AL,heatpumpAirSpace,effConv,4.06
hh0228,70AL,heatpumpAirSpace,effConv,4.06
hh0229,70AL,heatpumpAirSpace,effConv,4.06
hh0230,70AL,heatpumpAirSpace,effConv,4.06
hh0231,70AL,heatpumpAirSpace,effConv,4.06
hh0232,70AL,heatpumpAirSpace,effConv,4.06
hh0233,70AL,heatpumpAirSpace,effConv,4.06
hh0234,70AL,heatpumpAirSpace,effConv,4.06
hh0235,70AL,heatpumpAirSpace,effConv,4.06
hh0236,70AL,heatpumpAirSpace,effConv,4.06
hh0237,70AL,heatpumpAirSpace,effConv,4.06
hh0238,70AL,heatpumpAirSpace,effConv,4.06
hh0239,70AL,heatpumpAirSpace,effConv,4.06
hh0240,70AL,heatpumpAirSpace,effConv,4.06
hh0241,70AL,heatpumpAirSpace,effConv,4.06
hh0242,70AL,heatpumpAirSpace,effConv,4.06
hh0243,70AL,heatpumpAirSpace,effConv,4.06
hh0244,70AL,heatpumpAirSpace,effConv,4.06
hh0245,70AL,heatpumpAirSpace,effConv,4.06
hh0246,70AL,heatpumpAirSpace,effConv,4.06
hh0247,70AL,heatpumpAirSpace,effConv,4.06
hh0248,70AL,heatpumpAirSpace,effConv,4.06
hh0249,70AL,heatpumpAirSpace,effConv,4.06
hh0250,70AL,heatpumpAirSpace,effConv,4.06
hh0251,70AL,heatpumpAirSpace,effConv,4.06
hh0252,70AL,heatpumpAirSpace,effConv,4.06
hh0253,70AL,heatpumpAirSpace,effConv,4.06
hh0254,70AL,heatpumpAirSpace,effConv,4.06
hh0255,70AL,heatpumpAirSpace,effConv,4.06
hh0256,70AL,heatpumpAirSpace,effConv,4.06
hh0257,70AL,heatpumpAirSpace,effConv,4.06
hh0258,70AL,heatpumpAirSpace,effConv,4.06
hh0259,70AL,heatpumpAirSpace,effConv,4.06
hh0260,70AL,heatpumpAirSpace,effConv,4.06
hh0261,70AL,heatpumpAirSpace,effConv,4.06
hh0262,70AL,heatpumpAirSpace,effConv,4.06
hh0263,70AL,heatpumpAirSpace,effConv,4.06
hh0264,70AL,heatpumpAirSpace,effConv,4.06
hh0265,70AL,heatpumpAirSpace,effConv,4.06
hh0266,70AL,heatpumpAirSpace,effConv,4.06
hh0267,70AL,heatpumpAirSpace,effConv,4.06
hh0268,70AL,heatpumpAirSpace,effConv,4.06
hh0269,70AL,heatpumpAirSpace,effConv,4.06
hh0270,70AL,heatpumpAirSpace,effConv,4.06
hh0271,70AL,heatpumpAirSpace,effConv,4.06
hh0272,70AL,heatpumpAirSpace,effConv,4.06
hh0273,70AL,heatpumpAirSpace,effConv,4.06
hh0274,70AL,heatpumpAirSpace,effConv,4.06
hh0275,70AL,heatpumpAirSpace,effConv,4.06
hh0276,70AL,heatpumpAirSpace,effConv,4.06
hh0277,70AL,heatpumpAirSpace,effConv,4.06
hh0278,70AL,heatpumpAirSpace,effConv,4.06
hh0279,70AL,heatpumpAirSpace,effConv,4.06
hh0280,70AL,heatpumpAirSpace,effConv,4.06
hh0281,70AL,heatpumpAirSpace,effConv,4.06
hh0282,70AL,heatpumpAirSpace,effConv,4.06
hh0283,70AL,heatpumpAirSpace,effConv,4.06
hh0284,70AL,heatpumpAirSpace,effConv,4.06
hh0285,70AL,heatpumpAirSpace,effConv,4.06
hh0286,70AL,heatpumpAirSpace,effConv,4.06
hh0287,70AL,heatpumpAirSpace,effConv,4.06
hh0288,70AL,heatpumpAirSpace,effConv,4.06
hh0289,70AL,heatpumpAirSpace,effConv,4.06
hh0290,70AL,heatpumpAirSpace,effConv,4.06
hh0291,70AL,heatpumpAirSpace,effConv,4.06
hh0292,70AL,heatpumpAirSpace,effConv,4.06
hh0293,70AL,heatpumpAirSpace,effConv,4.06
hh0294,70AL,heatpumpAirSpace,effConv,4.06
hh0295,70AL,heatpumpAirSpace,effConv,4.06
hh0296,70AL,heatpumpAirSpace,effConv,4.06
hh0297,70AL,heatpumpAirSpace,effConv,4.06
hh0298,70AL,heatpumpAirSpace,effConv,4.06
hh0299,70AL,heatpumpAirSpace,effConv,4.06
hh0300,70AL,heatpumpAirSpace,effConv,4.06
hh0301,70AL,heatpumpAirSpace,effConv,4.06
hh0302,70AL,heatpumpAirSpace,effConv,4.06
hh0303,70AL,heatpumpAirSpace,effConv,4.06
hh0304,70AL,heatpumpAirSpace,effConv,4.06
hh0305,70AL,heatpumpAirSpace,effConv,4.06
hh0306,70AL,heatpumpAirSpace,effConv,4.06
hh0307,70AL,heatpumpAirSpace,effConv,4.06
hh0308,70AL,heatpumpAirSpace,effConv,4.06
hh0309,70AL,heatpumpAirSpace,effConv,4.06
hh0310,70AL,heatpumpAirSpace,effConv,4.029183082
hh0311,70AL,heatpumpAirSpace,effConv,3.99746928
hh0312,70AL,heatpumpAirSpace,effConv,4.022122752
hh0313,70AL,heatpumpAirSpace,effConv,3.945649015
hh0314,70AL,heatpumpAirSpace,effConv,3.929424713
hh0315,70AL,heatpumpAirSpace,effConv,3.949205169
hh0316,70AL,heatpumpAirSpace,effConv,3.970642582
hh0317,70AL,heatpumpAirSpace,effConv,4.035554921
hh0318,70AL,heatpumpAirSpace,effConv,4.041086559
hh0319,70AL,heatpumpAirSpace,effConv,4.024487422
hh0320,70AL,heatpumpAirSpace,effConv,4.045820128
hh0321,70AL,heatpumpAirSpace,effConv,4.037108163
hh0322,70AL,heatpumpAirSpace,effConv,4.033162357
hh0323,70AL,heatpumpAirSpace,effConv,4.043444743
hh0324,70AL,heatpumpAirSpace,effConv,4.055276646
hh0325,70AL,heatpumpAirSpace,effConv,4.056064053
hh0326,70AL,heatpumpAirSpace,effConv,4.045028705
hh0327,70AL,heatpumpAirSpace,effConv,3.974675153
hh0328,70AL,heatpumpAirSpace,effConv,3.953268646
hh0329,70AL,heatpumpAirSpace,effConv,3.933953228
hh0330,70AL,heatpumpAirSpace,effConv,4.06
hh0331,70AL,heatpumpAirSpace,effConv,4.06
hh0332,70AL,heatpumpAirSpace,effConv,4.06
hh0333,70AL,heatpumpAirSpace,effConv,4.041038737
hh0334,70AL,heatpumpAirSpace,effConv,3.955159386
hh0335,70AL,heatpumpAirSpace,effConv,3.861408787
hh0336,70AL,heatpumpAirSpace,effConv,3.88662893
hh0337,70AL,heatpumpAirSpace,effConv,3.997503026
hh0338,70AL,heatpumpAirSpace,effConv,4.020531978
hh0339,70AL,heatpumpAirSpace,effConv,4.051329031
hh0340,70AL,heatpumpAirSpace,effConv,4.056851097
hh0341,70AL,heatpumpAirSpace,effConv,4.057637779
hh0342,70AL,heatpumpAirSpace,effConv,4.029235108
hh0343,70AL,heatpumpAirSpace,effConv,3.97595464
hh0344,70AL,heatpumpAirSpace,effConv,4.012597834
hh0345,70AL,heatpumpAirSpace,effConv,4.031574628
hh0346,70AL,heatpumpAirSpace,effConv,4.033937937
hh0347,70AL,heatpumpAirSpace,effConv,4.051337072
hh0348,70AL,heatpumpAirSpace,effConv,4.057638866
hh0349,70AL,heatpumpAirSpace,effConv,4.045001753
hh0350,70AL,heatpumpAirSpace,effConv,3.793228176
hh0351,70AL,heatpumpAirSpace,effConv,3.852560284
hh0352,70AL,heatpumpAirSpace,effConv,3.890113643
hh0353,70AL,heatpumpAirSpace,effConv,3.882557791
hh0354,70AL,heatpumpAirSpace,effConv,3.871288087
hh0355,70AL,heatpumpAirSpace,effConv,4.001450308
hh0356,70AL,heatpumpAirSpace,effConv,4.049739884
hh0357,70AL,heatpumpAirSpace,effConv,3.984289232
hh0358,70AL,heatpumpAirSpace,effConv,3.947826299
hh0359,70AL,heatpumpAirSpace,effConv,3.94807699
hh0360,70AL,heatpumpAirSpace,effConv,3.908720089
hh0361,70AL,heatpumpAirSpace,effConv,3.750537269
hh0362,70AL,heatpumpAirSpace,effConv,3.990188126
hh0363,70AL,heatpumpAirSpace,effConv,4.050543098
hh0364,70AL,heatpumpAirSpace,effConv,4.06
hh0365,70AL,heatpumpAirSpace,effConv,4.06
hh0366,70AL,heatpumpAirSpace,effConv,4.041086195
hh0367,70AL,heatpumpAirSpace,effConv,4.06
hh0368,70AL,heatpumpAirSpace,effConv,4.06
hh0369,70AL,heatpumpAirSpace,effConv,4.037082766
hh0370,70AL,heatpumpAirSpace,effConv,4.022868693
hh0371,70AL,heatpumpAirSpace,effConv,4.032372824
hh0372,70AL,heatpumpAirSpace,effConv,4.06
hh0373,70AL,heatpumpAirSpace,effConv,4.06
hh0374,70AL,heatpumpAirSpace,effConv,4.06
hh0375,70AL,heatpumpAirSpace,effConv,4.06
hh0376,70AL,heatpumpAirSpace,effConv,4.051322429
hh0377,70AL,heatpumpAirSpace,effConv,3.992732595
hh0378,70AL,heatpumpAirSpace,effConv,3.886062846
hh0379,70AL,heatpumpAirSpace,effConv,3.815059198
hh0380,70AL,heatpumpAirSpace,effConv,3.826446817
hh0381,70AL,heatpumpAirSpace,effConv,3.902132704
hh0382,70AL,heatpumpAirSpace,effConv,3.976716209
hh0383,70AL,heatpumpAirSpace,effConv,3.956086725
hh0384,70AL,heatpumpAirSpace,effConv,3.920833042
hh0385,70AL,heatpumpAirSpace,effConv,3.700425002
hh0386,70AL,heatpumpAirSpace,effConv,3.689416433
hh0387,70AL,heatpumpAirSpace,effConv,3.651478672
hh0388,70AL,heatpumpAirSpace,effConv,3.555255296
hh0389,70AL,heatpumpAirSpace,effConv,3.396049267
hh0390,70AL,heatpumpAirSpace,effConv,3.531338705
hh0391,70AL,heatpumpAirSpace,effConv,3.984013808
hh0392,70AL,heatpumpAirSpace,effConv,3.721435096
hh0393,70AL,heatpumpAirSpace,effConv,3.291356093
hh0394,70AL,heatpumpAirSpace,effConv,3.39772791
hh0395,70AL,heatpumpAirSpace,effConv,3.489088327
hh0396,70AL,heatpumpAirSpace,effConv,3.52839263
hh0397,70AL,heatpumpAirSpace,effConv,3.353518756
hh0398,70AL,heatpumpAirSpace,effConv,3.187523009
hh0399,70AL,heatpumpAirSpace,effConv,3.127491376
hh0400,70AL,heatpumpAirSpace,effConv,3.284919125
hh0401,70AL,heatpumpAirSpace,effConv,3.469865652
hh0402,70AL,heatpumpAirSpace,effConv,3.652089672
hh0403,70AL,heatpumpAirSpace,effConv,3.774879096
hh0404,70AL,heatpumpAirSpace,effConv,3.831708804
hh0405,70AL,heatpumpAirSpace,effConv,3.774209382
hh0406,70AL,heatpumpAirSpace,effConv,3.723556511
hh0407,70AL,heatpumpAirSpace,effConv,3.493951697
hh0408,70AL,heatpumpAirSpace,effConv,3.734891826
hh0409,70AL,heatpumpAirSpace,effConv,3.920593787
hh0410,70AL,heatpumpAirSpace,effConv,3.644085624
hh0411,70AL,heatpumpAirSpace,effConv,3.513131678
hh0412,70AL,heatpumpAirSpace,effConv,3.499322928
hh0413,70AL,heatpumpAirSpace,effConv,3.348049416
hh0414,70AL,heatpumpAirSpace,effConv,3.486812802
hh0415,70AL,heatpumpAirSpace,effConv,3.780075372
hh0416,70AL,heatpumpAirSpace,effConv,3.828303346
hh0417,70AL,heatpumpAirSpace,effConv,3.675205239
hh0418,70AL,heatpumpAirSpace,effConv,3.63240665
hh0419,70AL,heatpumpAirSpace,effConv,3.629689696
hh0420,70AL,heatpumpAirSpace,effConv,3.646779767
hh0421,70AL,heatpumpAirSpace,effConv,3.68883178
hh0422,70AL,heatpumpAirSpace,effConv,3.757862892
hh0423,70AL,heatpumpAirSpace,effConv,3.73629495
hh0424,70AL,heatpumpAirSpace,effConv,3.610284901
hh0425,70AL,heatpumpAirSpace,effConv,3.574443645
hh0426,70AL,heatpumpAirSpace,effConv,3.48874134
hh0427,70AL,heatpumpAirSpace,effConv,3.49538501
hh0428,70AL,heatpumpAirSpace,effConv,3.457023504
hh0429,70AL,heatpumpAirSpace,effConv,3.525560875
hh0430,70AL,heatpumpAirSpace,effConv,3.628353426
hh0431,70AL,heatpumpAirSpace,effConv,3.481640715
hh0432,70AL,heatpumpAirSpace,effConv,3.379777457
hh0433,70AL,heatpumpAirSpace,effConv,3.121417961
hh0434,70AL,heatpumpAirSpace,effConv,3.103317828
hh0435,70AL,heatpumpAirSpace,effConv,3.036374422
hh0436,70AL,heatpumpAirSpace,effConv,2.978044402
hh0437,70AL,heatpumpAirSpace,effConv,2.684165177
hh0438,70AL,heatpumpAirSpace,effConv,2.829960858
hh0001,79NO,heatpumpAirSpace,effConv,3.065205482
hh0002,79NO,heatpumpAirSpace,effConv,2.995202796
hh0003,79NO,heatpumpAirSpace,effConv,2.699747125
hh0004,79NO,heatpumpAirSpace,effConv,2.572892781
hh0005,79NO,heatpumpAirSpace,effConv,2.398767711
hh0006,79NO,heatpumpAirSpace,effConv,2.587509842
hh0007,79NO,heatpumpAirSpace,effConv,2.938997604
hh0008,79NO,heatpumpAirSpace,effConv,3.097794541
hh0009,79NO,heatpumpAirSpace,effConv,3.192655445
hh0010,79NO,heatpumpAirSpace,effConv,3.333485912
hh0011,79NO,heatpumpAirSpace,effConv,3.237708029
hh0012,79NO,heatpumpAirSpace,effConv,3.300486999
hh0013,79NO,heatpumpAirSpace,effConv,3.323321077
hh0014,79NO,heatpumpAirSpace,effConv,3.39928261
hh0015,79NO,heatpumpAirSpace,effConv,3.48584246
hh0016,79NO,heatpumpAirSpace,effConv,3.419370383
hh0017,79NO,heatpumpAirSpace,effConv,3.279014723
hh0018,79NO,heatpumpAirSpace,effConv,3.287796735
hh0019,79NO,heatpumpAirSpace,effConv,3.361324131
hh0020,79NO,heatpumpAirSpace,effConv,3.457272429
hh0021,79NO,heatpumpAirSpace,effConv,3.438012308
hh0022,79NO,heatpumpAirSpace,effConv,3.524402148
hh0023,79NO,heatpumpAirSpace,effConv,3.657846708
hh0024,79NO,heatpumpAirSpace,effConv,3.627950826
hh0025,79NO,heatpumpAirSpace,effConv,3.688010315
hh0026,79NO,heatpumpAirSpace,effConv,3.662953558
hh0027,79NO,heatpumpAirSpace,effConv,3.335629491
hh0028,79NO,heatpumpAirSpace,effConv,3.199484952
hh0029,79NO,heatpumpAirSpace,effConv,3.334804282
hh0030,79NO,heatpumpAirSpace,effConv,3.495115426
hh0031,79NO,heatpumpAirSpace,effConv,3.547018657
hh0032,79NO,heatpumpAirSpace,effConv,3.553566745
hh0033,79NO,heatpumpAirSpace,effConv,3.321537625
hh0034,79NO,heatpumpAirSpace,effConv,3.24963411
hh0035,79NO,heatpumpAirSpace,effConv,3.331525854
hh0036,79NO,heatpumpAirSpace,effConv,3.414460309
hh0037,79NO,heatpumpAirSpace,effConv,3.392534733
hh0038,79NO,heatpumpAirSpace,effConv,3.267464556
